,title,artist,key,chords,capo
0,All I Want For Christmas Is You,Mariah Carey,G,"[['G', 'Em', 'C', 'D', 'G'], ['G/B'], ['C'], ['Cm/Eb'], ['G/B', 'B7'], ['Em', 'Cm/Eb'], ['G/D', 'E7'], ['Am7', 'Cm6/D'], ['G', 'Em', 'C', 'D'], ['G'], ['C'], ['Eb6'], ['G'], ['C'], ['Eb6'], ['G', 'B7'], ['Em', 'Eb6'], ['G/D', 'E7'], ['Am7', 'Cm6/Eb', 'G', 'Em'], ['Am7', 'D'], ['G'], ['C'], ['Eb6'], ['G'], ['C'], ['Eb6'], ['G', 'B7'], ['Em', 'Eb6'], ['G/D', 'E7'], ['Am7', 'Cm6/Eb'], ['G', 'Em', 'Am7', 'D'], ['B7'], ['Em'], ['B7'], ['Em'], ['Eb6'], ['G/D', 'E7'], ['Am7'], ['Am7/D'], ['G'], ['C'], ['Eb6'], ['G', 'B7'], ['Em', 'Eb6'], ['G/D', 'E7'], ['Am7', 'Cm6/D'], ['D'], ['G', 'Em', 'Am7', 'D'], ['G', 'Em', 'Am7', 'D'], ['G', 'Em', 'Am7', 'D'], ['G', 'Em', 'Am7', 'D'], ['G', 'Em', 'Am7', 'D'], ['G', 'Em', 'Am7', 'D']]",
1,Hallelujah,Jeff Buckley,Db,"[['C', 'Am', 'C', 'Am', 'C', 'Am'], ['C', 'Am'], ['F', 'G', 'C', 'G'], ['C', 'F', 'G'], ['Am', 'F'], ['G', 'E7', 'Am'], ['F', 'Am', 'F', 'C', 'G', 'C', 'Am', 'C', 'Am'], ['C', 'Am'], ['C', 'Am'], ['F', 'G', 'C', 'G'], ['C', 'F', 'G'], ['Am', 'F'], ['G', 'E7', 'Am'], ['F', 'Am', 'F', 'C', 'G', 'C', 'Am', 'C', 'Am'], ['C', 'Am'], ['C', 'Am'], ['F', 'G', 'C', 'G'], ['C', 'F', 'G'], ['Am', 'F'], ['G', 'E7', 'Am'], ['F', 'Am', 'F', 'C', 'G', 'C', 'Am', 'C', 'Am'], ['C', 'Am'], ['C', 'Am'], ['F', 'G', 'C', 'G'], ['C', 'F', 'G'], ['Am', 'F'], ['G', 'E7', 'Am'], ['F', 'Am', 'F', 'C', 'G', 'C', 'Am', 'C', 'Am'], ['C', 'Am'], ['C', 'Am'], ['F', 'G', 'C', 'G'], ['C', 'F', 'G'], ['Am', 'F'], ['G', 'E7', 'Am'], ['F', 'Am', 'F', 'C', 'G', 'C'], ['F', 'Am', 'F', 'C', 'G', 'C'], ['F', 'Am', 'F', 'C', 'G', 'C'], ['Am', 'F', 'G', 'C']]",1
2,Creep,Radiohead,G,"[['G', 'B', 'C', 'Cm', 'G', 'B'], ['C', 'Cm'], ['G', 'B'], ['C', 'Cm'], ['Cm'], ['G', 'B'], ['C', 'Cm'], ['G', 'B'], ['C', 'Cm'], ['G', 'B'], ['C', 'Cm'], ['Cm'], ['G', 'B'], ['C', 'Cm'], ['G', 'B'], ['C', 'Cm'], ['G', 'B'], ['C', 'Cm'], ['G', 'B'], ['C', 'Cm'], ['G', 'B'], ['C', 'Cm'], ['G']]",
3,Wonderwall,Oasis,F#m,"[['Em', 'G', 'D', 'A7sus4', 'Em', 'G', 'D', 'A7sus4', 'Em', 'G', 'D', 'A7sus4', 'Em', 'G', 'D', 'A7sus4', 'Em', 'G'], ['D', 'A7sus4'], ['Em', 'G'], ['D', 'A7sus4'], ['Em', 'G'], ['D', 'A7sus4', 'C', 'D', 'A7sus4', 'A7sus4'], ['Em', 'G'], ['D', 'A7sus4'], ['Em', 'G'], ['D', 'A7sus4'], ['Em', 'G', 'D'], ['A7sus4', 'Em', 'G', 'D', 'A7sus4'], ['C', 'D', 'Em'], ['C', 'D', 'Em'], ['C', 'D'], ['G', 'D', 'Em'], ['D', 'A7sus4'], ['C', 'Em', 'G'], ['Em', 'C', 'Em', 'G'], ['Em', 'C', 'Em', 'G'], ['Em', 'C', 'Em', 'G', 'Em'], ['Em', 'G'], ['D', 'A7sus4'], ['Em', 'G'], ['D', 'A7sus4'], ['Em', 'G'], ['D', 'A7sus4'], ['Em', 'G', 'D', 'A7sus4'], ['C', 'D', 'Em'], ['C', 'D', 'Em'], ['C', 'D', 'G', 'D', 'Em'], ['D', 'A7sus4'], ['C', 'Em', 'G'], ['Em', 'C', 'Em', 'G'], ['Em', 'C', 'Em', 'G'], ['Em', 'C', 'Em', 'G', 'Em'], ['C', 'Em', 'G'], ['Em', 'C', 'Em', 'G'], ['Em', 'C', 'Em', 'G'], ['Em', 'C', 'Em', 'G', 'Em'], ['C', 'Em', 'G'], ['Em', 'C', 'Em', 'G'], ['Em', 'C', 'Em', 'G'], ['Em', 'C', 'Em', 'G', 'Em']]",2
4,Dont Look Back In Anger,Oasis,C,"[['C', 'F', 'C', 'F', 'C', 'G', 'Am'], ['E7', 'F', 'G'], ['C', 'Am', 'G'], ['C', 'G', 'Am'], ['E7', 'F', 'G'], ['C', 'Am', 'G', 'F'], ['F', 'Fm', 'C'], ['F', 'Fm', 'C'], ['F', 'Fm', 'C'], ['G'], ['E7/G#'], ['Am', 'G', 'F', 'G'], ['C', 'G', 'Am', 'E7', 'F'], ['G', 'C', 'Am', 'G'], ['C', 'G', 'Am', 'E7'], ['F', 'G'], ['C', 'G', 'Am', 'E7', 'F', 'G', 'C', 'Am', 'G'], ['C', 'G', 'Am'], ['E7', 'F', 'G', 'C', 'Am', 'G'], ['C', 'G', 'Am'], ['E7', 'F', 'G', 'C', 'Am', 'G'], ['F', 'Fm', 'C'], ['F', 'Fm', 'C'], ['F', 'Fm', 'C'], ['G'], ['E7/G#'], ['Am', 'G', 'F', 'G'], ['C', 'G', 'Am', 'E7', 'F'], ['G', 'C', 'Am', 'G'], ['C', 'G', 'Am', 'E7'], ['F', 'G'], ['C', 'Am', 'G'], ['F', 'Fm', 'C', 'G', 'E7/G#', 'Am', 'G', 'F', 'G', 'G', 'C', 'G', 'Am', 'E7', 'F'], ['G', 'C', 'Am', 'G'], ['C', 'G', 'Am', 'E7'], ['F', 'G'], ['C', 'Am', 'G'], ['C', 'G', 'Am', 'E7', 'F'], ['G', 'C', 'Am', 'G'], ['C', 'G', 'Am'], ['F'], ['Fm'], ['C', 'G', 'Am', 'E7', 'F', 'Fm', 'C']]",
5,Zombie,The Cranberries,Em,"[['Em', 'C', 'G', 'D/F#', 'Em', 'C', 'G', 'D/F#'], ['Em', 'C', 'G', 'D/F#'], ['Em', 'C'], ['G', 'D/F#'], ['Em', 'C'], ['G', 'D/F#'], ['Em', 'C', 'G', 'D/F#'], ['Em', 'C', 'G', 'D/F#'], ['Em', 'C', 'G', 'D/F#', 'Em', 'C', 'G', 'D/F#'], ['Em', 'C', 'G', 'D/F#'], ['Em', 'C'], ['G', 'D/F#'], ['Em', 'C'], ['G', 'D/F#'], ['Em', 'C', 'G', 'D/F#'], ['Em', 'C', 'G', 'D/F#']]",
6,Whats Up,4 Non Blondes,A,"[['G', 'Am', 'C', 'G', 'G', 'Am'], ['G'], ['Am'], ['C', 'G'], ['G'], ['Am'], ['C', 'G'], ['G'], ['Am'], ['C', 'G'], ['G'], ['Am'], ['C', 'G'], ['G', 'Am'], ['C', 'G'], ['G', 'Am'], ['C', 'G'], ['G', 'Am', 'C', 'G'], ['G', 'Am', 'C', 'G'], ['G', 'Am'], ['C', 'G'], ['G', 'Am'], ['C'], ['G'], ['G'], ['Am'], ['C', 'G'], ['G'], ['Am'], ['C', 'G'], ['G', 'Am'], ['C', 'G'], ['G', 'Am'], ['C', 'G'], ['G', 'Am'], ['C', 'G'], ['G', 'Am'], ['C', 'G'], ['G', 'Am', 'C', 'G'], ['G'], ['Am', 'C'], ['G']]",2
7,Iris,Goo Goo Dolls,Bm,"[['A', 'Bm', 'Bm/A'], ['G', 'F#m', 'Bm', 'Bsus2', 'G', 'D', 'Em', 'G'], ['Bm', 'A', 'G'], ['D', 'Em', 'G'], ['Bm', 'A', 'G'], ['D', 'Em', 'G'], ['Bm', 'A', 'G'], ['D', 'Em', 'G'], ['Bm', 'A', 'G'], ['Bm', 'A', 'G'], ['Bm', 'A', 'G'], ['Bm', 'A', 'G'], ['Bm', 'A', 'G'], ['D', 'Em', 'G'], ['Bm', 'A', 'G'], ['D', 'Em', 'G'], ['Bm', 'A', 'G'], ['Bm', 'A', 'G'], ['Bm', 'A', 'G'], ['Bm', 'A', 'G'], ['Bm', 'A', 'G'], ['Bm', 'Bm/A', 'D', 'D', 'Bm', 'Bm/A', 'G', 'G', 'Bm', 'Bm/A', 'D', 'D', 'Bm', 'Bm/A', 'G', 'G', 'Bm', 'Bsus2', 'G', 'G', 'Bm', 'Bsus2', 'G', 'G', 'Bm', 'Bsus2', 'G', 'G', 'Bm', 'Bsus2', 'G', 'F#m', 'G', 'Bm', 'G', 'F#m', 'Bm', 'Bm', 'G', 'F#m', 'Bm', 'Bm', 'Bm', 'Bm/A', 'G', 'G', 'Bm', 'Bm/A', 'G', 'G', 'Bm', 'Bm/A', 'G', 'G', 'Bm', 'Bm/A', 'G', 'G', 'Bm', 'A', 'G'], ['Bm', 'A', 'G'], ['Bm', 'A', 'G'], ['Bm', 'A', 'G'], ['Bm', 'A', 'G'], ['Bm', 'A', 'G'], ['Bm', 'A', 'G'], ['Bm', 'A', 'G'], ['Bm', 'A', 'G'], ['Bm', 'A', 'G'], ['Bm', 'A', 'Bm']]",
8,No Surprises,Radiohead,F,"[['D', 'Gm'], ['D'], ['Gmaj7/B'], ['Em', 'A', 'Asus4'], ['D', 'Gm'], ['D'], ['Gmaj7/B'], ['Em', 'A', 'Asus4'], ['D', 'Gm'], ['D'], ['Gmaj7/B'], ['Em', 'A', 'Asus4'], ['Em', 'A', 'Asus4'], ['Em', 'A', 'Asus4'], ['D', 'Gm'], ['D', 'Gm'], ['D'], ['Gmaj7/B'], ['Em', 'A', 'Asus4'], ['Em', 'A', 'Asus4'], ['Em', 'A', 'Asus4'], ['D', 'Gm'], ['A', 'Gm', 'A', 'Gm', 'Em', 'Gm', 'D'], ['Gmaj7/B'], ['Em', 'A', 'Asus4'], ['Em', 'A', 'Asus4'], ['Em', 'A', 'Asus4'], ['D', 'Gm']]",3
9,Nothing Else Matters,Metallica,Em,"[['Em', 'D', 'C'], ['Em', 'D', 'C'], ['Em', 'D', 'C'], ['G', 'B7', 'Em'], ['Em', 'D', 'C'], ['Em', 'D', 'C'], ['Em', 'D', 'C'], ['G', 'B7', 'Em'], ['Em', 'D', 'C'], ['Em', 'D', 'C'], ['Em', 'D', 'C'], ['G', 'B7', 'Em', 'C', 'A'], ['D', 'C', 'A'], ['D', 'C', 'A'], ['D', 'Em'], ['Em', 'D', 'C'], ['Em', 'D', 'C'], ['Em', 'D', 'C'], ['G', 'B7', 'Em', 'C', 'A'], ['D', 'C', 'A'], ['D', 'C', 'A'], ['D', 'Em'], ['Em', 'D', 'C'], ['Em', 'D', 'C'], ['Em', 'D', 'C'], ['G', 'B7', 'Em'], ['Em', 'D', 'C'], ['Em', 'D', 'C'], ['Em', 'D', 'C'], ['G', 'B7', 'Em', 'C', 'A'], ['D', 'C', 'A'], ['D', 'C', 'A'], ['D', 'C', 'A'], ['D', 'C', 'A'], ['D', 'Em'], ['Em', 'D', 'C'], ['Em', 'D', 'C'], ['Em', 'D', 'C'], ['G', 'B7', 'Em']]",
