,title,artist,key,chords,capo
0,Last Christmas,Wham!,D,"[['D', 'Bm', 'Em', 'A', 'D'], ['Bm'], ['Em'], ['A'], ['D'], ['Bm'], ['Em'], ['A'], ['D', 'Bm', 'Em', 'A', 'D'], ['Bm', 'Em'], ['Em'], ['A'], ['D'], ['Bm'], ['Em'], ['A'], ['D'], ['Bm'], ['Em'], ['A'], ['D'], ['Bm'], ['Em'], ['A'], ['D', 'Bm', 'Em', 'A', 'D'], ['Bm'], ['Em'], ['A'], ['D'], ['Bm', 'Em'], ['Em'], ['A'], ['D'], ['Bm'], ['Em'], ['A'], ['D'], ['Bm'], ['Em'], ['A'], ['D'], ['Bm'], ['Em'], ['A', 'D'], ['D', 'Bm']]",
1,Where Is My Mind,Pixies,E,"[['E', 'C#m', 'G#', 'A', 'E', 'C#m', 'G#', 'A'], ['E', 'C#m', 'G#', 'A'], ['E', 'C#m', 'G#', 'A'], ['E', 'C#m'], ['G#'], ['A'], ['E', 'C#m'], ['G#', 'A'], ['E', 'C#m', 'G#', 'A', 'E', 'C#m', 'G#', 'A'], ['E', 'G#', 'A', 'Am', 'C#m', 'B'], ['E', 'C#m', 'G#', 'A'], ['E', 'C#m', 'G#', 'A'], ['E', 'C#m'], ['G#'], ['A'], ['E', 'C#m'], ['G#', 'A'], ['E', 'C#m', 'G#', 'A', 'E', 'C#m', 'G#', 'A'], ['E', 'G#', 'A', 'Am', 'C#m', 'B'], ['E', 'C#m', 'G#', 'A'], ['E', 'C#m', 'G#', 'A'], ['E', 'C#m'], ['G#'], ['A'], ['E', 'C#m'], ['G#', 'A'], ['E', 'C#m', 'G#', 'A', 'E', 'C#m', 'G#', 'A'], ['E', 'G#', 'A', 'Am', 'C#m', 'B']]",
2,Just The Two Of Us,Grover Washington Jr.,G,"[['Cmaj7', 'B7', 'Em7', 'Ebm7', 'G7', 'Cmaj7', 'B7', 'Em7', 'Dm7', 'G7', 'Cmaj7', 'B7', 'Em7', 'Cmaj7', 'B7', 'Em7'], ['Dm7', 'G7', 'Cmaj7'], ['B7', 'Em7'], ['Cmaj7', 'B7', 'Em7'], ['Dm7', 'G7', 'Cmaj7'], ['B7', 'Em7'], ['Cmaj7', 'B7', 'Em7', 'Ebm7', 'Dm7'], ['G7', 'Cmaj7', 'B7', 'Em7'], ['Cmaj7', 'B7', 'Em7', 'Ebm7', 'Dm7'], ['G7', 'Cmaj7', 'B7', 'Em7'], ['Cmaj7', 'B7', 'Em7'], ['Dm7', 'G7', 'Cmaj7'], ['B7', 'Em7'], ['Cmaj7', 'B7', 'Em7'], ['Dm7', 'G7', 'Cmaj7'], ['B7', 'Em7'], ['Cmaj7', 'B7', 'Em7', 'Ebm7', 'Dm7'], ['G7', 'Cmaj7', 'B7', 'Em7'], ['Cmaj7', 'B7', 'Em7', 'Ebm7', 'Dm7'], ['G7', 'Cmaj7', 'B7', 'Em7'], ['Cmaj7', 'B7', 'Bbmaj7', 'A7', 'Abmaj7', 'G7', 'Cmaj7', 'F13', 'Cmaj7', 'B7', 'Bbmaj7', 'A7', 'Abmaj7', 'G7', 'Cmaj7', 'F13', 'Cmaj7', 'B7', 'Em7', 'Dm7', 'G7', 'Cmaj7', 'B7', 'Em7', 'Cmaj7', 'B7', 'Em7', 'Dm7', 'G7', 'Cmaj7'], ['B7', 'Em7'], ['Cmaj7', 'B7', 'Em7', 'Dm7', 'G7', 'Cmaj7'], ['B7', 'Em7'], ['Cmaj7', 'B7', 'Em7', 'Ebm7', 'Dm7'], ['G7', 'Cmaj7', 'B7', 'Em7'], ['Cmaj7', 'B7', 'Em7', 'Ebm7', 'Dm7'], ['G7', 'Cmaj7', 'B7', 'Em7']]",1
3,Wicked Game,Chris Isaak,Bm,"[['Bm', 'A', 'E', 'Bm', 'A', 'E'], ['Bm', 'A', 'E'], ['Bm', 'A', 'E'], ['Bm', 'A', 'E'], ['Bm', 'A', 'E'], ['Bm', 'A', 'E'], ['Bm', 'A', 'E'], ['Bm', 'A', 'E'], ['Bm', 'A', 'E'], ['Bm', 'A', 'E'], ['Bm', 'A', 'E'], ['Bm', 'A', 'E'], ['Bm', 'A', 'E'], ['Bm', 'A', 'E'], ['Bm', 'A', 'E'], ['Bm', 'A', 'E'], ['Bm', 'A', 'E'], ['Bm', 'A', 'E'], ['Bm', 'A', 'E']]",
4,Sweet Child O Mine,Guns N' Roses,D,"[['D', 'D', 'C', 'C', 'G', 'G', 'D', 'D', 'D', 'D', 'C', 'C', 'G', 'G', 'D', 'D', 'D', 'D', 'C', 'C', 'G', 'G', 'D', 'D', 'D'], ['C'], ['G'], ['D'], ['D'], ['C'], ['G'], ['D'], ['A', 'C', 'D'], ['A', 'C', 'D'], ['D', 'D', 'C', 'C', 'G', 'G', 'D', 'D', 'D'], ['C'], ['G'], ['D'], ['D'], ['C'], ['G'], ['D'], ['A', 'C', 'D'], ['A', 'C', 'D'], ['D', 'D', 'C', 'C', 'G', 'G', 'D', 'D', 'D', 'D', 'C', 'C', 'G', 'G', 'D', 'D', 'A', 'C', 'D'], ['A', 'C', 'D'], ['A', 'C', 'D'], ['A', 'C', 'D'], ['Em', 'C', 'B7', 'Am', 'Em', 'C', 'B7', 'Am', 'Em', 'C', 'B7', 'Am', 'Em', 'C', 'B7', 'Am', 'Am', 'Em', 'G', 'A', 'C', 'D', 'G', 'Em', 'G', 'A', 'C', 'D', 'G', 'Em', 'G', 'A', 'C', 'D', 'G', 'Em', 'G', 'A', 'C', 'D', 'G', 'Em', 'G', 'A', 'C', 'D', 'G'], ['Em', 'G', 'A', 'C', 'D', 'G'], ['Em', 'G', 'A', 'C', 'D', 'G'], ['Em', 'G', 'A', 'C', 'D', 'G'], ['Em', 'G', 'A', 'C', 'D', 'G'], ['Em', 'G', 'A', 'C', 'D', 'G'], ['Em', 'G', 'A', 'Em'], ['Em', 'G', 'A', 'C', 'D', 'E']]",
5,Hallelujah,Leonard Cohen,C,"[['G', 'Em'], ['G', 'Em'], ['C', 'D', 'G', 'D'], ['G', 'C', 'D'], ['Em', 'C'], ['D', 'B7', 'Em'], ['C', 'Em', 'C', 'G', 'D', 'G', 'D'], ['G', 'Em'], ['G', 'Em'], ['C', 'D', 'G', 'D'], ['G', 'C', 'D'], ['Em', 'C'], ['D', 'B7', 'Em'], ['C', 'Em', 'C', 'G', 'D', 'G', 'D'], ['G', 'Em'], ['G', 'Em'], ['C', 'D', 'G', 'D'], ['G', 'C', 'D'], ['Em', 'C'], ['D', 'B7', 'Em'], ['C', 'Em', 'C', 'G', 'D', 'G', 'D'], ['G', 'Em'], ['G', 'Em'], ['C', 'D', 'G', 'D'], ['G', 'C', 'D'], ['Em', 'C'], ['D', 'B7', 'Em'], ['C', 'Em', 'C', 'G', 'D'], ['C', 'Em', 'C', 'G', 'D'], ['C', 'Em', 'C', 'G', 'D'], ['C', 'Em', 'C', 'G', 'D', 'G']]",5
6,Merry Christmas Everyone,Shakin' Stevens,G,"[['G', 'B7/F#', 'Em', 'C', 'G', 'D', 'G', 'G', 'B7/F#', 'Em', 'C'], ['G', 'C', 'G'], ['D', 'G'], ['B7/F#', 'Em', 'C'], ['G', 'D', 'G'], ['G', 'B7/F#', 'Em', 'C'], ['G', 'C', 'G'], ['D', 'G'], ['B7/F#', 'Em', 'C'], ['G', 'D', 'G'], ['Em', 'C', 'G', 'D'], ['Em', 'C', 'G'], ['D'], ['G', 'B7/F#', 'Em', 'C'], ['G', 'C', 'G'], ['G', 'B7/F#', 'Em', 'C'], ['G', 'D', 'G'], ['G', 'B7/F#', 'Em', 'C', 'G', 'C', 'G', 'G', 'B7/F#', 'Em', 'C', 'G', 'D', 'G', 'Em', 'C', 'G', 'D'], ['Em', 'C', 'G'], ['D'], ['G', 'B7/F#', 'Em', 'C'], ['G', 'C', 'G'], ['D', 'G'], ['B7/F#', 'Em', 'C'], ['G', 'D', 'G', 'C'], ['G', 'D', 'G', 'C'], ['G', 'D', 'G'], ['G', 'B7/F#', 'Em', 'C', 'G', 'D', 'G'], ['A', 'C#7/G#', 'F#m', 'D'], ['A', 'D', 'A'], ['E', 'A'], ['C#7/G#', 'F#m', 'D'], ['A', 'E', 'A'], ['A', 'C#7/G#', 'F#m', 'D'], ['A', 'D', 'A'], ['E', 'A'], ['C#7/G#', 'F#m', 'D'], ['A', 'E', 'A'], ['A', 'C#7/G#', 'F#m', 'D'], ['A', 'D', 'A'], ['E', 'A'], ['C#7/G#', 'F#m', 'D'], ['A', 'E', 'A', 'D'], ['A', 'E', 'A', 'D'], ['A', 'E', 'A'], ['A', 'C#7/G#', 'F#m', 'D', 'A', 'E', 'A']]",2
7,Fairytale Of New York,Pogues,D,"[['D', 'G/D', 'D', 'G/D', 'A', 'D'], ['D', 'G/D', 'D', 'G/D', 'A', 'D'], ['G/D', 'D', 'G/D', 'Asus4/E', 'D', 'G/D', 'D', 'G'], ['D', 'G/A', 'A', 'D'], ['G', 'D'], ['G', 'Asus4/E', 'D', 'G/A'], ['G/A', 'D', 'G'], ['D', 'G/A', 'A'], ['D', 'G'], ['D', 'G', 'Asus4/E', 'D'], ['G/D', 'D', 'G/D', 'Asus4', 'D', 'A', 'D', 'G', 'A', 'D', 'D'], ['A'], ['Bm', 'G'], ['D'], ['A'], ['D', 'Bm'], ['D', 'G'], ['D'], ['A', 'D'], ['D'], ['A'], ['D', 'G'], ['A', 'D'], ['D'], ['A'], ['D', 'G'], ['A', 'D'], ['G', 'Bm', 'A'], ['D', 'Bm'], ['D', 'G'], ['A', 'D', 'A', 'Bm', 'G', 'D', 'A', 'D', 'Bm', 'D', 'G', 'D', 'A', 'D'], ['D'], ['D'], ['A'], ['D', 'G', 'A'], ['D'], ['D'], ['A'], ['D', 'G'], ['A'], ['D', 'A', 'D'], ['G', 'Bm', 'A'], ['D', 'Bm'], ['D', 'G'], ['A', 'D', 'G', 'D', 'A', 'D', 'A', 'D'], ['A', 'D'], ['G'], ['D'], ['A'], ['D'], ['G'], ['D'], ['G', 'A', 'D'], ['G', 'Bm', 'A'], ['D', 'Bm'], ['D'], ['D']]",
8,Careless Whisper,George Michael,Dm,"[['Dm7', 'Gm7', 'Bbmaj7', 'Am7', 'Dm7', 'Gm7'], ['Bbmaj7', 'Am7'], ['Dm7', 'Gm7'], ['Bbmaj7', 'Am7'], ['Dm7'], ['Gm7'], ['Bbmaj7'], ['Am7'], ['Dm7'], ['Gm7'], ['Bbmaj7'], ['Am7'], ['Dm7'], ['Gm7'], ['Bbmaj7'], ['Am7'], ['Dm7', 'Gm7', 'Bbmaj7', 'Am7'], ['Dm7', 'Gm7'], ['Bbmaj7', 'Am7'], ['Dm7'], ['Gm7'], ['Bbmaj7'], ['Am7'], ['Dm7'], ['Gm7'], ['Bbmaj7'], ['Am7'], ['Dm7'], ['Gm7'], ['Bbmaj7'], ['Am7'], ['Dm7', 'Gm7', 'Bbmaj7', 'Am7'], ['Dm7', 'Gm7', 'Bbmaj7', 'Am7', 'Dm7'], ['Gm7'], ['Bbmaj7'], ['Am7'], ['Dm7'], ['Gm7'], ['Bbmaj7', 'Am7'], ['Dm7'], ['Gm7'], ['Bbmaj7'], ['Am7'], ['Dm7'], ['Gm7'], ['Bbmaj7'], ['Am7'], ['Dm7', 'Gm7', 'Bbmaj7', 'Am7'], ['Dm7', 'Gm7', 'Bbmaj7', 'Am7'], ['Dm7', 'Gm7'], ['Bbmaj7', 'Am7'], ['Dm7', 'Gm7', 'Bbmaj7', 'Am7'], ['Dm7', 'Gm7', 'Bbmaj7', 'Am7']]",
9,Fast Car,Tracy Chapman,D,"[['Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G', 'Em', 'D'], ['Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G', 'Em', 'D', 'Em', 'C', 'G', 'C'], ['Em', 'C'], ['Em', 'C'], ['Em', 'C'], ['C', 'Em', 'D'], ['C', 'Em', 'D', 'Em', 'C', 'Em'], ['Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G', 'Em', 'D', 'Em', 'C', 'G', 'C'], ['Em', 'C'], ['Em', 'C'], ['Em', 'C'], ['C', 'Em', 'D'], ['C', 'Em', 'D', 'Em', 'C', 'Em'], ['Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G', 'Em', 'D', 'Em', 'C', 'G', 'C'], ['Em', 'C'], ['Em', 'C'], ['Em', 'C'], ['C', 'Em', 'D'], ['C', 'Em', 'D', 'Em', 'C', 'Em'], ['Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G'], ['Em', 'D'], ['Cmaj7', 'G'], ['Em', 'D']]",2
