,title,artist,key,chords,capo
0,Have Yourself A Merry Little Christmas,Judy Garland,G,"[['G', 'Em7', 'Am7', 'D7', 'G', 'Em7', 'Am7', 'D7'], ['G', 'Em7', 'Am7', 'D7'], ['G', 'Em7', 'Am7', 'D7', 'B7', 'E7', 'A7', 'D', 'D7'], ['G', 'Em7', 'Am7', 'D7'], ['G', 'Em7', 'Am7', 'D7'], ['G', 'Em7', 'Am7', 'B7', 'Em', 'G', 'G7'], ['Cmaj7', 'Cm6', 'Bm', 'Bbdim'], ['Am', 'D7', 'Gmaj7'], ['Em', 'F#7', 'Bm', 'E7'], ['D7', 'A7', 'Am7', 'D7'], ['G', 'Em7', 'Am7', 'D7'], ['G', 'Em7', 'Am7', 'D7'], ['G', 'Em7', 'Am7', 'B7', 'Em', 'G', 'G7'], ['Cmaj7', 'Am7', 'D7', 'G']]",
1,White Christmas,Bing Crosby,G,"[['G', 'Gsus4', 'G', 'G', 'Am', 'D', 'D7'], ['C', 'Am', 'D', 'G', 'Gsus4', 'G'], ['G', 'Gmaj7', 'G7'], ['C', 'Cm'], ['G', 'Em', 'Am', 'D', 'D7'], ['G', 'Am', 'D', 'D7'], ['C', 'Am', 'D', 'G', 'Gsus4', 'G'], ['G', 'Gmaj7', 'G7', 'C', 'Cm'], ['G', 'Em', 'Am', 'D', 'G'], ['G', 'Am', 'D', 'D7'], ['C', 'Am', 'D', 'G', 'Gsus4', 'G'], ['G', 'Gmaj7', 'G7'], ['C', 'Cm'], ['G', 'Em', 'Am', 'D', 'D7'], ['G', 'Am', 'D', 'D7'], ['C', 'Am', 'G', 'Gsus4', 'G'], ['G', 'Gmaj7', 'G7', 'C', 'Cm'], ['G', 'Em', 'Am', 'D', 'G', 'Gsus4', 'G']]",2
2,Jingle Bell Rock,Bobby Helms,D,"[['D', 'D', 'Dmaj7', 'D6', 'D'], ['Em', 'A7'], ['Em', 'A7', 'Em', 'A7'], ['A', 'Em', 'A7'], ['D', 'Dmaj7', 'D6', 'D'], ['Em', 'A7'], ['Em', 'A7', 'Em', 'A7'], ['Em', 'A', 'D'], ['G', 'Gm'], ['D', 'D7'], ['E', 'E7'], ['A', 'A7', 'A', 'A7'], ['D', 'Dmaj7', 'D6', 'D'], ['B7'], ['G', 'Gm', 'E7', 'Gm'], ['Em', 'A', 'D'], ['D', 'Dmaj7', 'D6', 'D'], ['Em', 'A7'], ['Em', 'A7', 'Em', 'A7'], ['Em', 'A', 'D'], ['G', 'Gm'], ['D', 'D7'], ['E', 'E7'], ['A', 'A7', 'A', 'A7'], ['D', 'Dmaj7', 'D6', 'D'], ['B7'], ['G', 'Gm', 'E7', 'Gm'], ['Em', 'A'], ['Em', 'A'], ['Em', 'A', 'A7', 'D']]",
3,Let It Snow,Dean Martin,Db,"[['C', 'G7', 'C'], ['C', 'Ebdim', 'G'], ['Dm', 'A7', 'Dm'], ['G7', 'C', 'G'], ['C', 'G7', 'C'], ['C', 'Ebdim', 'G'], ['Dm', 'A7', 'Dm'], ['G7', 'C', 'G'], ['C', 'G7', 'C', 'C', 'Ebdim', 'G', 'Dm', 'A7', 'Dm', 'G7', 'C', 'G', 'G'], ['Am', 'D7', 'G'], ['G'], ['A7', 'D7', 'G'], ['C', 'G7', 'C'], ['C', 'Ebdim', 'G'], ['Dm', 'A7', 'Dm'], ['G7', 'C'], ['D', 'A7', 'D'], ['D', 'Fdim', 'A'], ['Em', 'B7', 'Em'], ['A7', 'D', 'A'], ['D', 'A7', 'D'], ['D', 'Fdim', 'A'], ['Em', 'B7', 'Em'], ['A7', 'D', 'A'], ['D', 'A7', 'D', 'D', 'Fdim', 'A', 'Em', 'B7', 'Em', 'A7', 'D', 'A', 'A'], ['Bm', 'E7', 'A'], ['A'], ['B7', 'E7', 'A'], ['D', 'A7', 'D'], ['D', 'Fdim', 'A'], ['Em', 'B7', 'Em'], ['A7', 'D'], ['E', 'B7', 'E'], ['E', 'Gdim', 'B'], ['F#m', 'C#7', 'F#m'], ['B7', 'E', 'B'], ['E', 'B7', 'E'], ['E', 'Gdim', 'B'], ['F#m', 'C#7', 'F#m'], ['B7', 'E', 'B'], ['E', 'B7', 'E', 'E', 'Gdim', 'B', 'F#m', 'C#7', 'F#m', 'B7', 'E', 'B', 'B'], ['C#m', 'F#7', 'B'], ['B'], ['C#7', 'F#7', 'B'], ['E', 'B7', 'E'], ['E', 'Gdim', 'B'], ['F#m', 'C#7', 'F#m'], ['B7', 'E'], ['F', 'C7', 'F'], ['F', 'Abdim', 'C'], ['Gm', 'D7', 'Gm'], ['C7', 'F', 'C'], ['F', 'C7', 'F'], ['F', 'Abdim', 'C'], ['Gm', 'D7', 'Gm'], ['C7', 'F', 'C'], ['F', 'C7', 'F', 'F', 'Abdim', 'C', 'Gm', 'D7', 'Gm', 'C7', 'F', 'C', 'C'], ['Dm', 'G7', 'C'], ['C'], ['D7', 'G7', 'C'], ['F', 'C7', 'F'], ['F', 'Abdim', 'C'], ['Gm', 'D7', 'Gm'], ['C7', 'F'], ['G', 'D7', 'G'], ['G', 'A#dim', 'D'], ['Am', 'E7', 'Am'], ['D7', 'G', 'D'], ['G', 'D7', 'G'], ['G', 'A#dim', 'D'], ['Am', 'E7', 'Am'], ['D7', 'G', 'D'], ['G', 'D7', 'G', 'G', 'A#dim', 'D', 'Am', 'E7', 'Am', 'D7', 'G', 'D', 'D'], ['Em', 'A7', 'D'], ['D'], ['E7', 'A7', 'D'], ['G', 'D7', 'G'], ['G', 'A#dim', 'D'], ['Am', 'E7', 'Am'], ['D7', 'G'], ['A', 'E7', 'A'], ['A', 'Cdim', 'E'], ['Bm', 'F#7', 'Bm'], ['E7', 'A', 'E'], ['A', 'E7', 'A'], ['A', 'Cdim', 'E'], ['Bm', 'F#7', 'Bm'], ['E7', 'A', 'E'], ['A', 'E7', 'A', 'A', 'Cdim', 'E', 'Bm', 'F#7', 'Bm', 'E7', 'A', 'E', 'E'], ['F#m', 'B7', 'E'], ['E'], ['F#7', 'B7', 'E'], ['A', 'E7', 'A'], ['A', 'Cdim', 'E'], ['Bm', 'F#7', 'Bm'], ['E7', 'A']]",
4,Rockin Around The Christmas Tree,Brenda Lee,Ab,"[['G', 'Em', 'C', 'D', 'G', 'D7'], ['Am7', 'D7', 'Am7', 'D7', 'Am7', 'D7', 'G'], ['G', 'D7'], ['Am7', 'D7', 'Am7', 'D7', 'Am7', 'D7', 'G'], ['C', 'Bm'], ['Em', 'Emmaj7', 'Em7', 'A7', 'D7'], ['G', 'D7'], ['Am7', 'D7', 'Am7', 'D7', 'Am7', 'D7', 'G'], ['G', 'D7', 'Am7', 'D7', 'Am', 'D7', 'Am', 'D7', 'G', 'C', 'Bm'], ['Em', 'Emmaj7', 'Em7', 'A7', 'D7'], ['G', 'D7'], ['Am7', 'D7', 'Am7', 'D7', 'D7', 'G', 'Em', 'C', 'G']]",1
5,Winter Wonderland,Dean Martin,C,"[['C'], ['G7'], ['G', 'F'], ['Em', 'Dm'], ['Am', 'G7', 'C'], ['C'], ['G7'], ['G', 'F'], ['Em', 'Dm'], ['Am', 'G7', 'C'], ['E', 'A', 'E'], ['E', 'A', 'E'], ['G', 'C'], ['G'], ['G', 'D7'], ['G', 'G7'], ['C'], ['G7'], ['G', 'F'], ['Em', 'Dm'], ['Am', 'G7', 'C'], ['E', 'A', 'E'], ['E', 'A', 'E'], ['G', 'C', 'G'], ['G', 'D7', 'G', 'G7'], ['C'], ['G7'], ['G', 'F', 'Em', 'Dm'], ['Am', 'G7', 'C'], ['Am', 'G7', 'C'], ['Am', 'G7', 'C']]",
6,Folsom Prison Blues,Johnny Cash,E,"[['E'], ['E7'], ['A', 'E'], ['B7', 'E'], ['E'], ['E7'], ['A', 'E'], ['B7', 'E'], ['E', 'E7', 'E', 'E7', 'A', 'A', 'E', 'E', 'B7', 'B7', 'E', 'E'], ['E7'], ['A', 'E'], ['B7', 'E'], ['E', 'E7', 'E', 'E7', 'A', 'A', 'E', 'E', 'B7', 'B7', 'E', 'E'], ['E7'], ['A', 'E'], ['B7', 'E']]",1
7,Blue Christmas,Elvis Presley,E,"[['E', 'B'], ['B7', 'E'], ['E7', 'E', 'A', 'F#'], ['B7', 'B'], ['B7', 'E', 'B'], ['B7', 'E'], ['E7', 'E', 'A', 'F#'], ['B7', 'E'], ['E', 'B', 'B7', 'E', 'E7', 'E', 'A', 'F#'], ['B7', 'E'], ['D', 'A'], ['A7', 'D'], ['D7', 'D', 'G', 'E'], ['A7', 'A'], ['A7', 'D', 'A'], ['A7', 'D'], ['D7', 'D', 'G', 'E'], ['A7', 'D'], ['D', 'A', 'A7', 'D', 'D7', 'D', 'G', 'E'], ['A7', 'D']]",
8,Ill Be Home For Christmas,Bing Crosby,C,"[['C', 'Em', 'Dm', 'G7'], ['C', 'Gm', 'A', 'Dm'], ['Fm', 'G7', 'C', 'Am'], ['D7', 'Dm', 'G7'], ['C', 'Em', 'Dm', 'G7'], ['C', 'Gm', 'A', 'Dm'], ['F', 'Fm', 'C', 'A7'], ['D7', 'Dm', 'G', 'C'], ['G', 'A7', 'D7'], ['G', 'E7', 'Am'], ['C', 'D7', 'G', 'Em'], ['A7', 'Am', 'D7'], ['G', 'A7', 'D7'], ['G', 'E7', 'Am'], ['C', 'Cm', 'G', 'E7'], ['A7', 'D7', 'Am', 'G']]",
9,I Walk The Line,Johnny Cash,F,"[['B7', 'E'], ['B7', 'E'], ['A', 'E'], ['B7', 'E'], ['E7', 'A'], ['E7', 'A'], ['D', 'A'], ['E7', 'A'], ['A7', 'D'], ['A7', 'D'], ['G', 'D'], ['A7', 'D'], ['E7', 'A'], ['E7', 'A'], ['D', 'A'], ['E7', 'A'], ['B7', 'E'], ['B7', 'E'], ['A', 'E'], ['B7', 'E']]",1
