,title,artist,key,chords,capo
0,Yellow,Coldplay,G,"[['G', 'D', 'C', 'G', 'G'], ['D'], ['Cmaj7'], ['G'], ['D'], ['Cmaj7'], ['G', 'D'], ['Cmaj7'], ['G', 'Gsus4'], ['Cmaj7'], ['Em7', 'D'], ['Cmaj7', 'Em7', 'D'], ['Cmaj7', 'Em7', 'D', 'Cmaj7'], ['G', 'D', 'C', 'G', 'Gsus4', 'G'], ['D'], ['Cmaj7'], ['G'], ['D'], ['Cmaj7'], ['G', 'Gsus4'], ['C'], ['Em7', 'D'], ['Cmaj7', 'Em7', 'D'], ['Cmaj7'], ['Em7', 'D', 'Cmaj7'], ['G', 'D', 'C', 'G', 'Gsus4', 'G', 'D'], ['Cmaj7'], ['G'], ['D'], ['Cmaj7'], ['G'], ['Dm7'], ['Cmaj7']]",4
1,Viva La Vida,Coldplay,Ab,"[['C', 'D', 'G', 'Em', 'C', 'D'], ['G', 'Em'], ['C', 'D'], ['G', 'Em'], ['C', 'D', 'G', 'Em', 'C', 'D'], ['G', 'Em'], ['C', 'D'], ['G', 'Em'], ['C', 'D'], ['G', 'Em'], ['C', 'D'], ['G', 'Em'], ['C', 'D'], ['G', 'Em'], ['C', 'D'], ['G', 'Em'], ['C', 'D'], ['G', 'Em', 'C', 'D'], ['Bm', 'Em'], ['C', 'D', 'G', 'Em', 'C', 'D'], ['G', 'Em'], ['C', 'D'], ['G', 'Em'], ['C', 'D'], ['G', 'Em'], ['C', 'D'], ['G', 'Em'], ['C', 'D'], ['G', 'Em'], ['C', 'D'], ['G', 'Em'], ['C', 'D'], ['G', 'Em'], ['C', 'D'], ['Bm', 'Em'], ['C', 'Em', 'D', 'D', 'C', 'D', 'G', 'Em'], ['C', 'D', 'G', 'Em'], ['C', 'D'], ['G', 'Em'], ['C', 'D'], ['G', 'Em'], ['C', 'D'], ['G', 'Em'], ['C', 'D'], ['Bm', 'Em'], ['C', 'D', 'Bm', 'Em'], ['C', 'D', 'Bm', 'Em']]",1
2,Somewhere Only We Know,Keane,C,"[['C', 'Em', 'Dm', 'G', 'C', 'Em'], ['Dm', 'F', 'G'], ['C', 'Em'], ['Dm', 'F', 'G'], ['Am', 'Em'], ['Dm', 'F', 'G'], ['Am', 'Em'], ['Dm', 'F', 'G'], ['C', 'Em'], ['Dm', 'F', 'G'], ['C', 'Em'], ['Dm', 'F', 'G'], ['Am', 'Em'], ['Dm', 'F', 'G'], ['Am', 'Em'], ['Dm', 'F', 'G'], ['F', 'C', 'G'], ['F', 'C', 'G'], ['F', 'C', 'G'], ['Dm'], ['Em', 'Dm'], ['Em', 'Dm', 'G'], ['Am', 'Em'], ['Dm', 'F', 'G'], ['Am', 'Em'], ['Dm', 'F', 'G'], ['F', 'C', 'G'], ['F', 'C', 'G'], ['F', 'C', 'G'], ['Dm'], ['Em'], ['Dm', 'C', 'G', 'Dm', 'C', 'G'], ['Dm'], ['Em', 'C', 'Dm'], ['Em', 'Dm'], ['Em', 'Dm', 'C']]",
3,Hurt,Johnny Cash,Am,"[['Am', 'C', 'D', 'Am', 'C', 'D', 'Am', 'C', 'D', 'Am', 'C', 'D', 'Am'], ['C', 'D', 'Am', 'C', 'D', 'Am'], ['C', 'D', 'Am', 'C', 'D', 'Am'], ['C', 'D', 'Am', 'C', 'D', 'G'], ['Am', 'F', 'C', 'G'], ['Am', 'F', 'C', 'G'], ['Am', 'F', 'G', 'G'], ['Am', 'F', 'G', 'Am'], ['Am', 'C', 'D', 'Am', 'C', 'D', 'Am', 'C', 'D', 'Am', 'C', 'D', 'Am'], ['C', 'D', 'Am', 'C', 'D', 'Am'], ['C', 'D', 'Am', 'C', 'D', 'Am'], ['C', 'D', 'Am', 'C', 'D', 'G'], ['Am', 'F', 'C', 'G'], ['Am', 'F', 'C', 'G'], ['Am', 'F', 'G', 'G'], ['Am', 'F', 'G', 'G'], ['Am', 'F', 'G', 'G'], ['Am', 'F', 'G']]",
4,Boulevard Of Broken Dreams,Green Day,Fm,"[['Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'Em'], ['G', 'D', 'A', 'Em'], ['Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'Em'], ['G', 'D', 'A', 'Em'], ['Em', 'G', 'D', 'A', 'Em'], ['Em', 'G', 'D', 'A'], ['C', 'G', 'D', 'Em'], ['C', 'G', 'D', 'Em'], ['C', 'G', 'D', 'Em'], ['C', 'G', 'B7'], ['Em', 'G', 'D', 'A'], ['Em', 'G', 'D', 'A'], ['Em', 'G'], ['D', 'A', 'Em'], ['G', 'D'], ['A', 'Em'], ['Em', 'G', 'D', 'A', 'Em', 'G'], ['D', 'A', 'Em'], ['G', 'D', 'A'], ['Em'], ['Em', 'G', 'D', 'A', 'Em'], ['Em', 'G', 'D', 'A'], ['C', 'G', 'D', 'Em'], ['C', 'G', 'D', 'Em'], ['C', 'G', 'D', 'Em'], ['C', 'G', 'B7'], ['Em', 'G', 'D', 'A'], ['Em', 'G', 'D', 'A'], ['C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'B', 'B7', 'Em', 'G', 'D', 'A', 'Em'], ['G', 'D', 'A'], ['C', 'G', 'D', 'Em'], ['C', 'G', 'D', 'Em'], ['C', 'G', 'D', 'Em'], ['C', 'G', 'B7']]",1
5,Make You Feel My Love,Adele,G,"[['G', 'D', 'F', 'C', 'Cm', 'G', 'A7', 'D7', 'G', 'G', 'D'], ['F', 'C'], ['Cm', 'G'], ['A7', 'D7', 'G'], ['G', 'D'], ['F', 'C'], ['Cm', 'G'], ['A7', 'D7', 'G'], ['C', 'G'], ['B7', 'C', 'G'], ['C', 'G'], ['A7', 'D7'], ['G', 'D'], ['F', 'C'], ['Cm', 'G'], ['A7', 'D7', 'G'], ['G', 'D', 'F', 'C', 'Cm', 'G', 'A7', 'D7', 'G', 'C', 'G'], ['B7', 'C', 'G'], ['C', 'G'], ['A7', 'D7'], ['G', 'D'], ['F', 'C'], ['Cm', 'G'], ['A7', 'D7', 'G'], ['A7', 'D7', 'G']]",3
6,Im Yours,Jason Mraz,B,"[['G', 'D', 'Em', 'C'], ['G'], ['D'], ['Em'], ['C'], ['G'], ['D'], ['Em'], ['C'], ['G', 'D'], ['Em'], ['C', 'G', 'D', 'Em', 'C'], ['G', 'D'], ['Em'], ['C'], ['G', 'D', 'Em'], ['C', 'A7'], ['G', 'D', 'Dsus4'], ['Em'], ['C'], ['G', 'D'], ['Em'], ['C'], ['G', 'D', 'Em'], ['D', 'C'], ['A7'], ['G', 'Bm', 'Em', 'D', 'C', 'A7', 'G'], ['D'], ['Em'], ['C'], ['G'], ['D'], ['Em'], ['C'], ['G', 'D', 'Dsus4'], ['Em'], ['C', 'G'], ['D'], ['D', 'Em'], ['C'], ['G'], ['D', 'Dsus4'], ['Em'], ['C'], ['A7']]",4
7,Hey There Delilah,Plain White T's,D,"[['D', 'F#m', 'D', 'F#m', 'D', 'F#m'], ['D', 'F#m'], ['Bm', 'G', 'A', 'Bm'], ['A'], ['D', 'F#m'], ['D', 'F#m'], ['Bm', 'G', 'A', 'Bm'], ['A'], ['D', 'Bm', 'D', 'Bm', 'A'], ['D', 'Bm', 'D', 'Bm'], ['D'], ['D', 'F#m'], ['D', 'F#m'], ['Bm', 'G', 'A', 'Bm'], ['A'], ['D', 'F#m'], ['D', 'F#m'], ['Bm', 'G', 'A', 'Bm'], ['A'], ['D', 'Bm', 'D', 'Bm', 'A'], ['D', 'Bm', 'D', 'Bm', 'A'], ['G', 'A'], ['D', 'Bm'], ['G', 'A'], ['D', 'Bm'], ['G', 'A'], ['Bm', 'A'], ['D', 'F#m'], ['D', 'F#m'], ['Bm', 'G', 'A', 'Bm'], ['G', 'A', 'Bm'], ['G', 'A', 'Bm', 'A'], ['D', 'Bm', 'D', 'Bm', 'A'], ['D', 'Bm', 'D', 'Bm'], ['D'], ['Bm', 'D', 'Bm', 'D', 'Bm', 'D', 'Bm', 'D', 'D']]",
8,Crazy,Gnarls Barkley,Cm,"[['Am', 'Cmaj7'], ['F'], ['Esus4', 'E'], ['Am'], ['Cmaj7'], ['F'], ['Esus4', 'E'], ['Am'], ['C'], ['F'], ['Esus4', 'E'], ['A', 'F'], ['Cmaj7', 'Esus4', 'E'], ['Am', 'C'], ['F'], ['Esus4', 'E'], ['Am'], ['Cmaj7'], ['F'], ['Esus4', 'E'], ['A', 'F'], ['Cmaj7', 'Esus4', 'E'], ['Am', 'C'], ['F'], ['Esus4', 'E'], ['Am'], ['Cmaj7'], ['F'], ['Esus4', 'E']]",3
9,In Der Weihnachtsbäckerei,Rolf Zuckowski,C,"[['G', 'C', 'G', 'Am'], ['F', 'C', 'G'], ['Dm', 'G'], ['Dm', 'G'], ['C', 'G', 'Dm', 'G'], ['C', 'G', 'Am'], ['F', 'C', 'G', 'C'], ['C', 'C'], ['Dm', 'Dm'], ['G', 'G', 'G', 'C'], ['C', 'C'], ['Dm', 'Dm'], ['G', 'G', 'G', 'C'], ['G', 'C', 'G', 'Am'], ['F', 'C', 'G'], ['Dm', 'G'], ['Dm', 'G'], ['C', 'G', 'Dm', 'G'], ['C', 'G', 'Am'], ['F', 'C', 'G', 'C'], ['C', 'C'], ['Dm', 'Dm'], ['G', 'G', 'G', 'C'], ['C', 'C'], ['Dm', 'Dm'], ['G', 'G', 'G', 'C'], ['G', 'C', 'G', 'Am'], ['F', 'C', 'G'], ['Dm', 'G'], ['Dm', 'G'], ['C', 'G', 'Dm', 'G'], ['C', 'G', 'Am'], ['F', 'C', 'G', 'C'], ['C', 'C'], ['Dm', 'Dm'], ['G', 'G', 'G', 'C'], ['C', 'C'], ['Dm', 'Dm'], ['G', 'G', 'G', 'C'], ['G', 'C', 'G', 'Am'], ['F', 'C', 'G'], ['Dm', 'G'], ['Dm', 'G'], ['C', 'G', 'Dm', 'G'], ['C', 'G', 'Am'], ['F', 'C', 'G', 'C', 'G', 'C']]",
