,title,artist,key,chords,capo
10,California Dreamin,The Mamas & The Papas,C#m,"[['Am', 'G', 'F', 'G', 'Esus4', 'E', 'F'], ['C', 'E', 'Am', 'F', 'Esus4', 'E'], ['Am', 'G', 'F', 'G', 'Esus4', 'E'], ['Am', 'G', 'F', 'G', 'Esus4'], ['Am', 'G', 'F', 'G', 'Esus4', 'E'], ['F', 'C', 'E', 'Am', 'F', 'Esus4', 'E'], ['E', 'Am', 'G', 'F'], ['G', 'Esus4', 'E'], ['Am', 'G', 'F', 'G', 'Esus4', 'E'], ['Am'], ['F', 'C', 'E7', 'Am', 'F', 'E7sus4', 'Am', 'G', 'Am', 'G', 'E7sus4', 'E7', 'Am', 'G', 'F', 'G', 'E7sus4', 'Am', 'G', 'F', 'G', 'Esus4', 'E'], ['F', 'C', 'E', 'Am', 'F', 'Esus4', 'E'], ['Am', 'G', 'F', 'G', 'Esus4', 'E'], ['Am', 'G', 'F', 'G', 'Am'], ['Am', 'G', 'F', 'G', 'Am'], ['Am', 'G', 'F', 'G', 'F', 'Am']]",4
11,What A Wonderful World,Louis Armstrong,F,"[['C', 'Em', 'F', 'Em'], ['Dm', 'C', 'E7', 'Am'], ['Ab', 'Dm7', 'G', 'C', 'G'], ['C', 'Em', 'F', 'Em'], ['Dm', 'C', 'E7', 'Am'], ['Ab', 'Dm7', 'G', 'C'], ['G', 'C'], ['G', 'C'], ['Am', 'Em', 'Am', 'Em'], ['F', 'Em', 'Dm', 'C', 'G'], ['C', 'Em', 'F', 'Em'], ['Dm', 'C', 'E7', 'Am'], ['Ab', 'Dm7', 'G', 'C', 'Bb7', 'A7'], ['Fmaj7', 'Dm7', 'G', 'C']]",5
12,The Christmas Song,Nat King Cole,C,"[['Cmaj7', 'Dm7', 'Em7', 'Dm7'], ['Cmaj7', 'Gm7', 'C7', 'Fmaj7', 'E7'], ['Am', 'Fm6', 'C', 'B7'], ['Emaj7', 'Fm7', 'Dm7', 'G', 'G7'], ['Cmaj7', 'Dm7', 'Em7', 'Dm7'], ['Cmaj7', 'Gm7', 'C7', 'Fmaj7', 'E7'], ['Am', 'Fm6', 'C', 'B7'], ['Em', 'A7', 'Dm7', 'G7', 'C'], ['C7', 'Gm', 'C7', 'Fmaj7'], ['Gm', 'C7', 'Fmaj7'], ['Fm7', 'Bb7', 'Eb'], ['D7', 'Gsus4', 'G7'], ['Cmaj7', 'Dm7', 'Em7', 'Dm7'], ['Cmaj7', 'Gm7', 'C7', 'Fmaj7', 'E7'], ['Am', 'Fm6', 'C', 'B7'], ['Em7', 'A7', 'Dm7', 'G', 'C']]",1
13,Something,The Beatles,C,"[['F', 'Eb', 'G/D', 'C'], ['F', 'Eb', 'G/D', 'A'], ['A', 'C'], ['F', 'Eb', 'G/D'], ['C', 'Cmaj7'], ['C7', 'F', 'F', 'F/E'], ['D7', 'G', 'G/A', 'G7/B'], ['Am', 'Ammaj7'], ['Am7', 'D9', 'F', 'Eb', 'G/D'], ['C', 'Cmaj7'], ['C7', 'F', 'F', 'F/E'], ['D7', 'G', 'G/A', 'G7/B'], ['Am', 'Ammaj7'], ['Am7', 'D9', 'F', 'Eb', 'G/D', 'A'], ['A', 'C#m/G#', 'F#m7', 'A/E'], ['D', 'G', 'A'], ['A', 'C#m/G#', 'F#m7', 'A/E'], ['D', 'G', 'C'], ['C', 'Cmaj7', 'C7', 'F', 'F', 'F/E', 'D7', 'G', 'G/A', 'G7/B', 'Am', 'Ammaj7', 'Am7', 'D9', 'F', 'Eb', 'G/D'], ['C', 'Cmaj7'], ['C7', 'F', 'F', 'F/E'], ['D7', 'G', 'G/A', 'G7/B'], ['Am', 'Ammaj7'], ['Am7', 'D9'], ['F', 'Eb', 'G/D', 'A'], ['F', 'Eb', 'G/D', 'C']]",
14,Bad Moon Rising,Creedence Clearwater Revival,D,"[['D', 'A', 'G', 'D', 'D', 'D', 'A', 'G', 'D'], ['D', 'A', 'G', 'D'], ['D', 'A', 'G', 'D'], ['D', 'A', 'G', 'D'], ['G'], ['D'], ['A', 'G', 'D'], ['D', 'A', 'G', 'D'], ['D', 'A', 'G', 'D'], ['D', 'A', 'G', 'D'], ['D', 'A', 'G', 'D'], ['G'], ['D'], ['A', 'G', 'D'], ['D', 'A', 'G', 'D', 'D', 'D', 'A', 'G', 'D', 'D', 'G', 'G', 'D', 'D', 'A', 'G', 'D', 'D', 'D', 'A', 'G', 'D'], ['D', 'A', 'G', 'D'], ['D', 'A', 'G', 'D'], ['D', 'A', 'G', 'D'], ['G'], ['D'], ['A', 'G', 'D'], ['G'], ['D'], ['A', 'G', 'D']]",
15,Dont Think Twice Its All Right,Bob Dylan,C,"[['C', 'G', 'C', 'G', 'F', 'C', 'G', 'C', 'C', 'G', 'Am'], ['F', 'C', 'G'], ['C', 'G', 'Am'], ['D7', 'G', 'G7'], ['C', 'C7'], ['F', 'D7'], ['C', 'G', 'Am', 'F'], ['C', 'G', 'C'], ['C', 'G', 'Am', 'F', 'C', 'C', 'G', 'Am'], ['F', 'C', 'G'], ['C', 'G', 'Am'], ['D7', 'G', 'G7'], ['C', 'C7'], ['F', 'D7'], ['C', 'G', 'Am', 'F'], ['C', 'G', 'C'], ['C', 'G', 'Am', 'F', 'C', 'C', 'G', 'Am'], ['F', 'C', 'G'], ['C', 'G', 'Am'], ['D7', 'G', 'G7'], ['C', 'C7'], ['F', 'D7'], ['C', 'G', 'Am', 'F'], ['C', 'G', 'C'], ['C', 'G', 'Am', 'F', 'C', 'C', 'G', 'Am'], ['F', 'C', 'G'], ['C', 'G', 'Am'], ['D7', 'G', 'G7'], ['C', 'C7'], ['F', 'D7'], ['C', 'G', 'Am', 'F'], ['C', 'G', 'C']]",4
16,While My Guitar Gently Weeps,The Beatles,Am,"[['Am', 'G', 'A', 'Am/G', 'D', 'C#m', 'F#m7b5', 'E', 'F#m', 'Fmaj7', 'C', 'Bm', 'Dsus4', 'Dsus2', 'Esus4', 'Am', 'Am/G', 'F#m7b5', 'Fmaj7', 'Am', 'G', 'D', 'E', 'Am', 'Am/G', 'F#m7b5', 'Fmaj7'], ['Am', 'G', 'D', 'Dsus4', 'D', 'Dsus2', 'D', 'Esus4', 'E'], ['Am', 'Am/G', 'F#m7b5', 'Fmaj7'], ['Am', 'G', 'C', 'E'], ['A', 'C#m', 'F#m', 'C#m'], ['Bm', 'E', 'Esus4', 'E'], ['A', 'C#m', 'F#m', 'C#m'], ['Bm', 'E', 'Esus4', 'E'], ['Am', 'Am/G', 'F#m7b5', 'Fmaj7'], ['Am', 'G', 'D', 'Dsus4', 'D', 'Dsus2', 'D', 'Esus4', 'E'], ['Am', 'Am/G', 'F#m7b5', 'Fmaj7'], ['Am', 'G', 'C', 'E'], ['Am', 'Am/G', 'F#m7b5', 'Fmaj7', 'Am', 'G', 'D', 'E', 'Am', 'Am/G', 'F#m7b5', 'Fmaj7', 'Am', 'G', 'C', 'E', 'A', 'C#m', 'F#m', 'C#m'], ['Bm', 'E', 'Esus4', 'E'], ['A', 'C#m', 'F#m', 'C#m'], ['Bm', 'E', 'Esus4', 'E'], ['Am', 'Am/G', 'F#m7b5', 'Fmaj7'], ['Am', 'G', 'D', 'Dsus4', 'D', 'Dsus2', 'D', 'Esus4', 'E'], ['Am', 'Am/G', 'F#m7b5', 'Fmaj7'], ['Am', 'G', 'C', 'E']]",
17,Ring Of Fire,Johnny Cash,G,"[['G', 'C', 'G', 'G', 'D', 'G', 'G', 'C', 'G', 'C', 'G'], ['D', 'G', 'D', 'G'], ['C', 'G', 'C', 'G'], ['D', 'G'], ['D', 'C', 'G'], ['D'], ['C', 'G'], ['D', 'G'], ['D', 'G'], ['G', 'C', 'G', 'G', 'D', 'G', 'G', 'C', 'G', 'G', 'D', 'G', 'D', 'C', 'G'], ['D'], ['C', 'G'], ['D', 'G'], ['D', 'G'], ['C', 'G', 'C', 'G'], ['D', 'G', 'D', 'G'], ['C', 'G', 'C', 'G'], ['D', 'G'], ['D', 'C', 'G'], ['D'], ['C', 'G'], ['D', 'G'], ['D', 'G'], ['D', 'C', 'G'], ['D'], ['C', 'G'], ['D', 'G'], ['D', 'G'], ['D', 'G'], ['D', 'G']]",
18,Yesterday,The Beatles,F,"[['C', 'C', 'Bm7', 'E7', 'Am', 'G', 'F'], ['G', 'C'], ['C/B', 'Am', 'D7', 'F', 'C'], ['C', 'Bm7', 'E7', 'Am', 'G', 'F'], ['G', 'C'], ['C/B', 'Am', 'D7', 'F', 'C'], ['Bm', 'E7', 'Am', 'G', 'F', 'Dm6', 'G7', 'C'], ['Bm', 'E7', 'Am', 'G', 'F', 'Dm6', 'G7', 'C'], ['C', 'Bm7', 'E7', 'Am', 'G', 'F'], ['G', 'C'], ['C/B', 'Am', 'D7', 'F', 'C'], ['Bm', 'E7', 'Am', 'G', 'F', 'Dm', 'G', 'C'], ['Bm', 'E7', 'Am', 'G', 'F', 'Dm', 'G', 'C'], ['C', 'Bm7', 'E7', 'Am', 'G', 'F'], ['G', 'C'], ['C/B', 'Am', 'D7', 'F', 'C'], ['Am', 'D7', 'F', 'C']]",5
19,Stand By Me,Ben E. King,A,"[['A', 'F#m', 'D', 'E', 'A', 'A'], ['F#m'], ['D', 'E', 'A'], ['A'], ['F#m'], ['D', 'E', 'A'], ['A'], ['F#m'], ['D', 'E', 'A'], ['A'], ['F#m'], ['D', 'E', 'A'], ['A'], ['F#m'], ['D', 'E', 'A'], ['A'], ['F#m'], ['D', 'E', 'A'], ['A', 'F#m', 'D', 'E', 'A', 'A'], ['F#m'], ['D', 'E'], ['A'], ['A', 'F#m'], ['D', 'E', 'A']]",
