,title,artist,key,chords,capo
0,Hotel California,Eagles,Bm,"[['Am', 'E7', 'G', 'D', 'F', 'C', 'Dm', 'E7', 'Am', 'E7'], ['G', 'D'], ['F', 'C'], ['Dm'], ['E7'], ['Am', 'E7'], ['G'], ['D'], ['F', 'C'], ['Dm'], ['E7'], ['F', 'C'], ['E7', 'Am'], ['F', 'C'], ['Dm', 'E7'], ['Am', 'E7'], ['G', 'D'], ['F', 'C'], ['Dm', 'E7'], ['Am', 'E7'], ['G', 'D'], ['F', 'C'], ['Dm'], ['E7'], ['F', 'C'], ['E7', 'Am'], ['F', 'C'], ['Dm', 'E7'], ['Am', 'E7'], ['G', 'D'], ['F', 'C'], ['Dm'], ['E7'], ['Am', 'E7'], ['G', 'D'], ['F', 'C'], ['Dm'], ['E7'], ['Am', 'E7', 'G', 'D', 'F', 'C', 'Dm', 'E7', 'Am', 'E7', 'G', 'D', 'F', 'C', 'Dm', 'E7']]",2
1,Take Me Home Country Roads,John Denver,A,"[['G', 'Em', 'D', 'C', 'G'], ['G', 'Em', 'D'], ['C', 'G'], ['G', 'D', 'Em', 'C'], ['G', 'D', 'C', 'G'], ['G', 'Em', 'D', 'C', 'G'], ['G', 'Em', 'D'], ['C', 'G'], ['G', 'D', 'Em', 'C'], ['G', 'D', 'C', 'G'], ['Em', 'D', 'G'], ['C', 'G', 'D'], ['Em', 'F', 'C'], ['G', 'D', 'D7'], ['G', 'D', 'Em', 'C'], ['G', 'D', 'C', 'G'], ['G', 'D', 'Em', 'C'], ['G', 'D', 'C', 'G'], ['D', 'G', 'D', 'G']]",2
2,Wish You Were Here,Pink Floyd,Em,"[['Em7', 'G'], ['Em7', 'A7sus4'], ['G'], ['C', 'D/F#'], ['Am/E', 'G'], ['D/F#', 'C', 'Am'], ['G'], ['C', 'D/F#'], ['Am/E', 'G', 'D/F#'], ['C', 'Am', 'G'], ['Em7', 'G', 'Em7', 'G', 'Em7', 'A7sus4', 'Em7', 'A7sus4', 'G', 'C', 'D/F#'], ['Am/E', 'G'], ['D/F#', 'C'], ['Am', 'G']]",
3,Take Me Home Country Roads,John Denver,A,"[['G', 'G/D', 'G', 'Em', 'D', 'C', 'G'], ['G', 'Em', 'D', 'C'], ['G'], ['G', 'D', 'Em', 'C'], ['G', 'D', 'C', 'G'], ['G', 'Em', 'D', 'C', 'G'], ['G', 'Em', 'D', 'C', 'G'], ['G', 'D', 'Em', 'C'], ['G', 'D', 'C', 'G'], ['Em', 'D/F#', 'G'], ['C', 'G', 'D'], ['Em', 'F', 'C', 'G'], ['D', 'D7'], ['G', 'D', 'Em', 'C'], ['G', 'D', 'C', 'G'], ['G', 'D', 'Em', 'C'], ['G', 'D', 'C', 'G'], ['D', 'G'], ['D', 'G']]",2
4,Have You Ever Seen The Rain,Creedence Clearwater Revival,C,"[['Am', 'F/C', 'C', 'G', 'C', 'C'], ['C', 'G'], ['C'], ['C'], ['C', 'G'], ['C'], ['F', 'G'], ['C', 'C/B', 'Am', 'Am/G'], ['F', 'G'], ['C', 'C/B', 'Am', 'Am/G'], ['F', 'G', 'C'], ['C'], ['C', 'G'], ['C'], ['C'], ['C', 'G'], ['C'], ['F', 'G'], ['C', 'C/B', 'Am', 'Am/G'], ['F', 'G'], ['C', 'C/B', 'Am', 'Am/G'], ['F', 'G', 'C'], ['F', 'G'], ['C', 'C/B', 'Am', 'Am/G'], ['F', 'G'], ['C', 'C/B', 'Am', 'Am/G'], ['F', 'G', 'C', 'G', 'C']]",
5,Happy Xmas War Is Over,John Lennon,G,"[['A'], ['Bm'], ['E'], ['A'], ['A', 'D'], ['Em'], ['A'], ['D'], ['G'], ['A'], ['Em', 'G'], ['D', 'E'], ['A'], ['Bm'], ['E'], ['A'], ['A', 'D'], ['Em'], ['A'], ['D'], ['G'], ['A'], ['Em', 'G'], ['D', 'E'], ['A'], ['Bm'], ['E'], ['A'], ['A', 'D'], ['Em'], ['A'], ['D'], ['G'], ['A'], ['Em', 'G'], ['D', 'E'], ['A'], ['Bm'], ['E'], ['A']]",
6,Jolene,Dolly Parton,C#m,"[['Am'], ['Am', 'C', 'G', 'Am'], ['G', 'Am'], ['Am', 'C', 'G', 'Am'], ['G', 'Em', 'Am'], ['Am', 'C'], ['G', 'Am'], ['G', 'Em', 'Am'], ['Am', 'C'], ['G', 'Am'], ['G', 'Em', 'Am'], ['Am', 'C'], ['G', 'Am'], ['G', 'Em', 'Am'], ['Am', 'C'], ['G', 'Am'], ['G', 'Em', 'Am'], ['Am', 'C', 'G', 'Am'], ['G', 'Am'], ['Am', 'C', 'G', 'Am'], ['G', 'Em', 'Am'], ['Am', 'C'], ['G', 'Am'], ['G', 'Em', 'Am'], ['Am', 'C'], ['G', 'Am'], ['G', 'Em', 'Am'], ['Am', 'C', 'G', 'Am'], ['G', 'Am'], ['Am', 'C', 'G', 'Am'], ['G', 'Em', 'Am']]",4
7,Your Song,Elton John,Eb,"[['D', 'G', 'A', 'F#m', 'Bm', 'Em7', 'Bm/A', 'Bm/G#', 'A/C#', 'D', 'G', 'A', 'G', 'D', 'Gmaj7', 'A/C#', 'F#m'], ['Bm', 'Bm/A', 'Bm/G#', 'Gmaj7'], ['D', 'A', 'F#', 'Bm'], ['D', 'Em7', 'G', 'A'], ['D', 'Gmaj7', 'A/C#', 'F#m'], ['Bm', 'Bm/A', 'Bm/G#', 'G'], ['D', 'A', 'F#', 'Bm'], ['D', 'Em7', 'G', 'D'], ['A/C#', 'Bm', 'Em7', 'Gmaj7'], ['A/C#', 'Bm', 'Em', 'G'], ['Bm', 'Bm/A'], ['Bm/G#', 'G6'], ['D/F#', 'Em', 'G', 'A'], ['D', 'G', 'A', 'G', 'D', 'Gmaj7', 'A/C#', 'F#m'], ['Bm', 'Bm/A', 'Bm/G#', 'Gmaj7'], ['D', 'A', 'F#', 'Bm'], ['D', 'Em7', 'G', 'A'], ['D', 'Gmaj7', 'A/C#', 'F#m'], ['Bm', 'Bm/A', 'Bm/G#', 'Gmaj7'], ['D', 'A', 'F#', 'Bm'], ['D', 'Em7', 'G', 'D'], ['A/C#', 'Bm', 'Em7', 'G'], ['A/C#', 'Bm', 'Em', 'G'], ['Bm', 'Bm/A'], ['Bm/G#', 'G6'], ['D', 'Em', 'G', 'A'], ['Bm', 'Bm/A'], ['Bm/G#', 'G6'], ['D/F#', 'Em', 'G', 'D', 'G/D', 'A/D', 'G/D', 'D']]",1
8,Imagine,John Lennon,C,"[['C', 'Cmaj7', 'F', 'Cadd9', 'Cmaj7', 'F'], ['Cadd9', 'Cmaj7', 'F', 'Cadd9', 'Cmaj7', 'F'], ['C', 'Cmaj7', 'F', 'C', 'Cmaj7', 'F', 'C', 'Cmaj7', 'F'], ['C', 'Cmaj7', 'F'], ['C', 'Cmaj7', 'F'], ['C', 'Cmaj7', 'F'], ['F', 'Am/E', 'Dm7', 'F/C'], ['G', 'C/G', 'G7'], ['C', 'Cmaj7', 'F'], ['C', 'Cmaj7', 'F'], ['C', 'Cmaj7', 'F'], ['C', 'Cmaj7', 'F'], ['F', 'Am/E', 'Dm7', 'F/C'], ['G', 'C/G', 'G7'], ['F', 'G', 'C', 'Cmaj7', 'C', 'E', 'E7'], ['F', 'G', 'C', 'Cmaj7', 'C', 'E', 'E7'], ['F', 'G', 'C', 'Cmaj7', 'C', 'E', 'E7'], ['F', 'G', 'C'], ['C', 'Cmaj7', 'F'], ['C', 'Cmaj7', 'F'], ['C', 'Cmaj7', 'F'], ['C', 'Cmaj7', 'F'], ['F', 'Am/E', 'Dm7', 'F/C'], ['G', 'C/G', 'G7'], ['F', 'G', 'C', 'Cmaj7', 'C', 'E', 'E7'], ['F', 'G', 'C', 'Cmaj7', 'C', 'E', 'E7'], ['F', 'G', 'C', 'Cmaj7', 'C', 'E', 'E7'], ['F', 'G', 'C']]",
9,Aint No Sunshine,Bill Withers,Am,"[['Am', 'Am', 'Em', 'G', 'Am'], ['Am', 'Am', 'Em', 'G', 'Am'], ['Em', 'Dm'], ['Am', 'Em', 'G', 'Am'], ['Am', 'Am', 'Em', 'G', 'Am'], ['Am', 'Am', 'Em', 'G', 'Am'], ['Em', 'Dm'], ['Am', 'Em', 'G', 'Am'], ['Am', 'Em', 'G', 'Am'], ['Am', 'Em', 'G', 'Am'], ['Am', 'Am', 'Em', 'G', 'Am'], ['Em', 'Dm'], ['Am', 'Em', 'G', 'Am'], ['Am', 'Em', 'G', 'Am'], ['Am', 'Em', 'G', 'Am'], ['Am', 'Em', 'G', 'Am']]",
