,0,1,2
0,Hotel California,1,0-m 7-7 10- 5- 8- 3- 5-m 7-7 0-m 7-7 10- 5- 8- 3- 5-m 7-7 0-m 7-7 10- 5- 8- 3- 5-m 7-7 8- 3- 7-7 0-m 8- 3- 5-m 7-7 0-m 7-7 10- 5- 8- 3- 5-m 7-7 0-m 7-7 10- 5- 8- 3- 5-m 7-7 8- 3- 7-7 0-m 8- 3- 5-m 7-7 0-m 7-7 10- 5- 8- 3- 5-m 7-7 0-m 7-7 10- 5- 8- 3- 5-m 7-7 0-m 7-7 10- 5- 8- 3- 5-m 7-7 0-m 7-7 10- 5- 8- 3- 5-m 7-7
1,Take Me Home Country Roads,0,0- 9-m 7- 5- 0- 0- 9-m 7- 5- 0- 0- 7- 9-m 5- 0- 7- 5- 0- 0- 9-m 7- 5- 0- 0- 9-m 7- 5- 0- 0- 7- 9-m 5- 0- 7- 5- 0- 9-m 7- 0- 5- 0- 7- 9-m 10- 5- 0- 7- 7-7 0- 7- 9-m 5- 0- 7- 5- 0- 0- 7- 9-m 5- 0- 7- 5- 0- 7- 0- 7- 0-
2,Wish You Were Here,1,0-m7 3- 0-m7 5-7sus4 3- 8- 10-/2 5-m/0 3- 10-/2 8- 5-m 3- 8- 10-/2 5-m/0 3- 10-/2 8- 5-m 3- 0-m7 3- 0-m7 3- 0-m7 5-7sus4 0-m7 5-7sus4 3- 8- 10-/2 5-m/0 3- 10-/2 8- 5-m 3-
3,Take Me Home Country Roads,0,0- 0-/7 0- 9-m 7- 5- 0- 0- 9-m 7- 5- 0- 0- 7- 9-m 5- 0- 7- 5- 0- 0- 9-m 7- 5- 0- 0- 9-m 7- 5- 0- 0- 7- 9-m 5- 0- 7- 5- 0- 9-m 7-/11 0- 5- 0- 7- 9-m 10- 5- 0- 7- 7-7 0- 7- 9-m 5- 0- 7- 5- 0- 0- 7- 9-m 5- 0- 7- 5- 0- 7- 0- 7- 0-
4,Have You Ever Seen The Rain,0,9-m 5-/0 0- 7- 0- 0- 0- 7- 0- 0- 0- 7- 0- 5- 7- 0- 0-/11 9-m 9-m/7 5- 7- 0- 0-/11 9-m 9-m/7 5- 7- 0- 0- 0- 7- 0- 0- 0- 7- 0- 5- 7- 0- 0-/11 9-m 9-m/7 5- 7- 0- 0-/11 9-m 9-m/7 5- 7- 0- 5- 7- 0- 0-/11 9-m 9-m/7 5- 7- 0- 0-/11 9-m 9-m/7 5- 7- 0- 7- 0-
5,Happy Xmas War Is Over,0,2- 4-m 9- 2- 2- 7- 9-m 2- 7- 0- 2- 9-m 0- 7- 9- 2- 4-m 9- 2- 2- 7- 9-m 2- 7- 0- 2- 9-m 0- 7- 9- 2- 4-m 9- 2- 2- 7- 9-m 2- 7- 0- 2- 9-m 0- 7- 9- 2- 4-m 9- 2-
6,Jolene,1,0-m 0-m 3- 10- 0-m 10- 0-m 0-m 3- 10- 0-m 10- 7-m 0-m 0-m 3- 10- 0-m 10- 7-m 0-m 0-m 3- 10- 0-m 10- 7-m 0-m 0-m 3- 10- 0-m 10- 7-m 0-m 0-m 3- 10- 0-m 10- 7-m 0-m 0-m 3- 10- 0-m 10- 0-m 0-m 3- 10- 0-m 10- 7-m 0-m 0-m 3- 10- 0-m 10- 7-m 0-m 0-m 3- 10- 0-m 10- 7-m 0-m 0-m 3- 10- 0-m 10- 0-m 0-m 3- 10- 0-m 10- 7-m 0-m
7,Your Song,0,0- 5- 7- 4-m 9-m 2-m7 9-m/7 9-m/6 7-/11 0- 5- 7- 5- 0- 5-maj7 7-/11 4-m 9-m 9-m/7 9-m/6 5-maj7 0- 7- 4- 9-m 0- 2-m7 5- 7- 0- 5-maj7 7-/11 4-m 9-m 9-m/7 9-m/6 5- 0- 7- 4- 9-m 0- 2-m7 5- 0- 7-/11 9-m 2-m7 5-maj7 7-/11 9-m 2-m 5- 9-m 9-m/7 9-m/6 5-6 0-/4 2-m 5- 7- 0- 5- 7- 5- 0- 5-maj7 7-/11 4-m 9-m 9-m/7 9-m/6 5-maj7 0- 7- 4- 9-m 0- 2-m7 5- 7- 0- 5-maj7 7-/11 4-m 9-m 9-m/7 9-m/6 5-maj7 0- 7- 4- 9-m 0- 2-m7 5- 0- 7-/11 9-m 2-m7 5- 7-/11 9-m 2-m 5- 9-m 9-m/7 9-m/6 5-6 0- 2-m 5- 7- 9-m 9-m/7 9-m/6 5-6 0-/4 2-m 5- 0- 5-/0 7-/0 5-/0 0-
8,Imagine,0,0- 0-maj7 5- 0-add9 0-maj7 5- 0-add9 0-maj7 5- 0-add9 0-maj7 5- 0- 0-maj7 5- 0- 0-maj7 5- 0- 0-maj7 5- 0- 0-maj7 5- 0- 0-maj7 5- 0- 0-maj7 5- 5- 9-m/4 2-m7 5-/0 7- 0-/7 7-7 0- 0-maj7 5- 0- 0-maj7 5- 0- 0-maj7 5- 0- 0-maj7 5- 5- 9-m/4 2-m7 5-/0 7- 0-/7 7-7 5- 7- 0- 0-maj7 0- 4- 4-7 5- 7- 0- 0-maj7 0- 4- 4-7 5- 7- 0- 0-maj7 0- 4- 4-7 5- 7- 0- 0- 0-maj7 5- 0- 0-maj7 5- 0- 0-maj7 5- 0- 0-maj7 5- 5- 9-m/4 2-m7 5-/0 7- 0-/7 7-7 5- 7- 0- 0-maj7 0- 4- 4-7 5- 7- 0- 0-maj7 0- 4- 4-7 5- 7- 0- 0-maj7 0- 4- 4-7 5- 7- 0-
9,Aint No Sunshine,1,0-m 0-m 7-m 10- 0-m 0-m 0-m 7-m 10- 0-m 7-m 5-m 0-m 7-m 10- 0-m 0-m 0-m 7-m 10- 0-m 0-m 0-m 7-m 10- 0-m 7-m 5-m 0-m 7-m 10- 0-m 0-m 7-m 10- 0-m 0-m 7-m 10- 0-m 0-m 0-m 7-m 10- 0-m 7-m 5-m 0-m 7-m 10- 0-m 0-m 7-m 10- 0-m 0-m 7-m 10- 0-m 0-m 7-m 10- 0-m
