,0,1,2
10,There Is A Light That Never Goes Out,0,7-m 10-maj7 0- 2-m7 0- 2-m7 0- 10-maj7 5- 0- 2-m7 0- 2-m7 0- 10-maj7 5- 0- 2-m7 0- 2-m7 0- 10-maj7 5- 0- 2-m7 0- 2-m7 0- 10-maj7 5- 0- 2-m7 0- 2-m7 0- 10-maj7 5- 0- 2-m7 0- 2-m7 0- 10-maj7 5- 0- 2-m7 0- 2-m7 0- 10-maj7 5- 0- 2-m7 0- 2-m7 0- 10-maj7 5- 0- 7-m 10-maj7 0- 5- 2-m7 10-maj7 0- 5- 10-maj7 7-m 5- 2-m7 10-maj7 0- 5- 10-maj7 7-m 2-m7 0- 2-m7 0- 10-maj7 5- 0- 2-m7 0- 2-m7 0- 10-maj7 5- 0- 2-m7 0- 2-m7 0- 10-maj7 5- 0- 2-m7 0- 2-m7 0- 10-maj7 5- 0- 2-m7 0- 2-m7 0- 10-maj7 5- 0- 2-m7 0- 2-m7 0- 10-maj7 5- 0- 2-m7 0- 2-m7 0- 10-maj7 5- 0- 2-m7 0- 2-m7 0- 10-maj7 5- 0- 7-m 10-maj7 0- 5- 2-m7 10-maj7 0- 5- 10-maj7 7-m 5- 2-m7 10-maj7 0- 5- 10-maj7 7-m 2-m7 0- 2-m7 0- 10-maj7 5- 0-
11,Summer Of 69,0,0-(5) 7-(5) 0- 0- 7- 0- 7- 0- 7- 0- 7- 9-m 7- 0- 5- 9-m 7- 0- 5- 9-m 7- 0- 0- 7- 0- 7- 0- 7- 9-m 7- 0- 5- 9-m 7- 0- 5- 9-m 7- 0- 0- 7- 0- 7- 3- 8- 10- 8-/0 3- 8- 10- 0- 7- 0- 7- 0- 7- 9-m 7- 0- 5- 9-m 7- 0- 5- 9-m 7- 0- 0- 7- 0- 7- 0- 7- 0- 7- 0- 7- 0- 7- 0- 7- 0- 7-
12,Take On Me,0,2-m9 2-m 2-m 7- 0- 5- 0-/4 2-m 7- 5-/9 7-sus2 7- 2-m 7- 0- 5- 0-/4 2-m 7- 0- 5- 0-/4 2-m 7- 9-m 5- 0- 7-/11 9-m 5- 0- 7-/11 9-m 5- 0- 7-/11 9-m 5- 0- 7- 5-/9 7- 2-m 7- 0- 5- 0-/4 2-m 7- 0- 5- 0-/4 2-m 7- 9-m 5- 0- 7-/11 9-m 5- 0- 7-/11 9-m 5- 0- 7-/11 9-m 5- 0- 7- 5-/9 7- 4-m 10- 4-m 10- 2-m 7- 2-m 7- 0- 5- 0-/4 2-m 7- 0- 5- 0-/4 2-m 7- 9-m 5- 0- 7-/11 9-m 5- 0- 7-/11 9-m 5- 0- 7-/11 9-m 5- 0- 7- 5-/9 7- 0- 7-/11 9-m 5- 0- 7-/11 9-m 5- 0- 7-/11 9-m 5- 0- 7-/11 9-m 5-
13,Im Still Standing,1,0-m 5-m/0 7-/0 8-/0 10-/0 0-m 5-m/0 7-/0 8-/0 10-/0 0- 5-/0 7-/0 0- 2-m7/0 5-/0 7- 9-m 5- 0- 2-m/0 0- 5-/0 7-/0 0- 2-m7/0 5-/0 7- 9-m 5- 0- 2-m7/0 0- 0-m7 0-m 7-m/10 5-m7 8-maj7 10- 0-m7 0-m 7-m/10 5-m7 7-7 0-m 5-m7 7-7 0-m 5-m7 7-7 8-/7 10-/7 0- 5-/0 7-/0 0- 2-m7/0 5-/0 7- 9-m 5- 0- 2-m7/0 0- 0-m7 0-m 7-m/10 5-m7 8-maj7 10- 0-m7 0-m 7-m/10 5-m7 7-7 0-m 5-m7 7-7 0-m 5-m7 7-7 8-/7 10-/7 0- 5-/0 7-/0 0- 2-m7/0 5-/0 7- 9-m 5- 0- 2-m7/0 0- 0-m7 0-m 7-m/10 5-m7 8-maj7 10- 0-m7 0-m 7-m/10 5-m7 7-7 0-m 5-m7 7-7 0-m 5-m7 7-7 8-/7 10-/7
14,Every Breath You Take,0,0- 9-m 5- 7- 0- 0- 9-m 5- 7- 0- 0- 9-m 5- 7- 0- 5- 0- 2-7 2- 7- 0- 9-m 5- 7- 0- 8- 10- 8- 10- 8- 0- 9-m 5- 7- 9-m 5- 0- 2-7 2- 7- 0- 9-m 5- 7- 0- 0- 9-m 5- 0- 9-m 5- 0- 9-m 5- 0- 9-m 5- 0- 9-m 5- 0- 9-m 5- 0- 9-m 5-
15,Free Fallin,0,0- 5- 5- 0- 7- 0- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 0-sus4 0- 7- 0- 0-sus4 0-sus4 0- 7- 0- 0-sus4 0- 7- 0- 0-sus4 0-sus4 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7- 0- 5- 5- 0- 7-
16,Can You Feel The Love Tonight,0,0- 7-/11 5-/9 0-/7 5- 0-/4 7-/11 0- 2-m7 0-/4 5- 0-/4 5- 0-/4 5- 0-/4 2-m7 7- 5- 0-/4 5- 0-/4 5- 9-m 10- 7- 0- 7-/11 9-m 5- 0- 5- 2-/6 7- 5- 0-/4 9-m 0-/7 5- 2-m 0- 5- 2-/6 7- 0- 7-/11 9-m 5- 0- 5- 2-/6 7- 5- 0-/4 9-m 0-/7 5- 2-m 0- 5-/7 5-/0 0- 0- 7-/11 5-/9 0-/7 5- 0-/4 7-/11 0- 2-m7 0-/4 5- 0-/4 5- 0-/4 5- 0-/4 2-m 7- 5- 0-/4 5- 0-/4 5- 9-m 10- 7- 0- 7-/11 9-m 5- 0- 5- 2-/6 7- 5- 0-/4 9-m 0-/7 5- 2-m 0- 5- 2-/6 7- 0- 7-/11 9-m 5- 0- 5- 2-/6 7- 5- 0-/4 9-m 0-/7 5- 2-m 0- 5-/7 5-/0 0- 5- 0-/4 9-m 0-/7 5- 2-m 0- 5-/7 5-/0 0-
17,Slipping Through My Fingers,0,4- 4-m 11- 3-m 4- 4-m 11- 3-m 4- 4-m 11- 3-m 4- 6- 11- 4- 6-/10 11- 3- 4- 6- 11- 11-/3 4- 6-/10 11- 6-sus4 11-sus4 11- 4- 11- 3-m 1-m 4- 11- 6-sus4 6- 11- 4- 11- 3-m 1-m 4- 11- 6-sus4 6- 11- 4- 4-m 11- 3-m 4- 4-m 11- 3-m 4- 4-m 11- 3-m 4- 6- 11- 4- 6-/10 11- 3- 4- 6- 11- 11-/3 4- 6-/10 11- 6-sus4 11-sus4 11- 4- 11- 3-m 1-m 4- 11- 6-sus4 6- 11- 4- 11- 3-m 1-m 4- 11- 6-sus4 6- 11- 4- 6- 11- 3- 4- 6- 11- 11-/3 4- 6- 11- 4- 11- 3-m 1-m 4- 11- 6-sus4 6- 11- 4- 11- 3-m 1-m 4- 11- 6-sus4 11- 4- 4-m 11- 3-m 4- 4-m 11- 3-m
18,Africa,0,0-/7 10-/5 10- 9-m 2-m 10- 9-m 2-m 10- 9-m 2-m 10- 9-m 2-m 0- 4-m 9-m 0-/7 10-/5 2-m 9-m 10- 9-m 2-m 0- 4-m 9-m 0-/7 10-/5 0-sus/7 9-m 10- 9-m 2-m 0- 4-m 9-m 0-/7 10-/5 0-sus/7 9-m 10- 9-m 2-m 0- 4-m 9-m 10- 2-m 7-m 3- 10- 5- 7-m 3- 10- 5- 7-m 3- 10- 5- 7-m 3- 10- 2-m 5- 7-m 5-/9 10- 10- 9-m 2-m 10- 9-m 2-m 0- 4-m 9-m 0-/7 10-/5 0-sus/7 9-m 10- 9-m 2-m 0- 4-m 9-m 0-/7 10-/5 0-sus/7 9-m 10- 9-m 2-m 0- 4-m 9-m 9-m 10- 2-m 7-m 3- 10- 5- 7-m 3- 10- 5- 7-m 3- 10- 5- 7-m 3- 10- 2-m 5- 7-m 5-/9 10- 10- 9-m 2-m 10- 9-m 2-m 0- 4-m 9-m 0-/7 10-/5 0-sus/7 9-m 10- 9-m 2-m 0- 4-7 9-m 10- 2-m 7-m 3- 10- 5- 7-m 3- 10- 5- 7-m 3- 10- 5- 7-m 3- 10- 5- 7-m 3- 10- 5- 7-m 3- 10- 5- 7-m 3- 10- 5- 7-m 3- 10- 2-m 5- 7-m 5-/9 10- 10- 9-m 2-m 10- 9-m 2-m
19,Dont Stop Believin,0,0- 7- 9-m 5- 0- 7- 4-m 5- 0- 7- 9-m 5- 0- 7- 4-m 5- 0- 7- 9-m 5- 0- 7- 4-m 5- 5- 0- 5- 0- 5- 0- 5- 7- 0- 7- 0- 5- 0- 7- 9-m 5- 0- 7- 9-m 5- 0- 7- 4-m 5- 0- 7- 9-m 5- 0- 7- 4-m 5- 5- 0- 5- 0- 5- 0- 5- 7- 0- 7- 0- 5- 0- 7- 9-m 5- 0- 7- 4-m 5- 0- 7- 9-m 5- 0- 7- 4-m 5- 0- 7- 9-m 5- 0- 7- 4-m 5- 0- 7- 9-m 5- 0- 7- 4-m 5-
