,0,1,2
0,Yellow,0,4- 11- 9- 4- 4- 11- 9-maj7 4- 11- 9-maj7 4- 11- 9-maj7 4- 4-sus4 9-maj7 1-m7 11- 9-maj7 1-m7 11- 9-maj7 1-m7 11- 9-maj7 4- 11- 9- 4- 4-sus4 4- 11- 9-maj7 4- 11- 9-maj7 4- 4-sus4 9- 1-m7 11- 9-maj7 1-m7 11- 9-maj7 1-m7 11- 9-maj7 4- 11- 9- 4- 4-sus4 4- 11- 9-maj7 4- 11- 9-maj7 4- 11-m7 9-maj7
1,Viva La Vida,0,5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 4-m 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 4-m 9-m 5- 9-m 7- 7- 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 4-m 9-m 5- 7- 4-m 9-m 5- 7- 4-m 9-m
2,Somewhere Only We Know,0,0- 4-m 2-m 7- 0- 4-m 2-m 5- 7- 0- 4-m 2-m 5- 7- 9-m 4-m 2-m 5- 7- 9-m 4-m 2-m 5- 7- 0- 4-m 2-m 5- 7- 0- 4-m 2-m 5- 7- 9-m 4-m 2-m 5- 7- 9-m 4-m 2-m 5- 7- 5- 0- 7- 5- 0- 7- 5- 0- 7- 2-m 4-m 2-m 4-m 2-m 7- 9-m 4-m 2-m 5- 7- 9-m 4-m 2-m 5- 7- 5- 0- 7- 5- 0- 7- 5- 0- 7- 2-m 4-m 2-m 0- 7- 2-m 0- 7- 2-m 4-m 0- 2-m 4-m 2-m 4-m 2-m 0-
3,Hurt,1,0-m 3- 5- 0-m 3- 5- 0-m 3- 5- 0-m 3- 5- 0-m 3- 5- 0-m 3- 5- 0-m 3- 5- 0-m 3- 5- 0-m 3- 5- 0-m 3- 5- 10- 0-m 8- 3- 10- 0-m 8- 3- 10- 0-m 8- 10- 10- 0-m 8- 10- 0-m 0-m 3- 5- 0-m 3- 5- 0-m 3- 5- 0-m 3- 5- 0-m 3- 5- 0-m 3- 5- 0-m 3- 5- 0-m 3- 5- 0-m 3- 5- 0-m 3- 5- 10- 0-m 8- 3- 10- 0-m 8- 3- 10- 0-m 8- 10- 10- 0-m 8- 10- 10- 0-m 8- 10- 10- 0-m 8- 10-
4,Boulevard Of Broken Dreams,1,0-m 3- 10- 5- 0-m 3- 10- 5- 0-m 3- 10- 5- 0-m 3- 10- 5- 0-m 0-m 3- 10- 5- 0-m 3- 10- 5- 0-m 3- 10- 5- 0-m 0-m 3- 10- 5- 0-m 0-m 3- 10- 5- 8- 3- 10- 0-m 8- 3- 10- 0-m 8- 3- 10- 0-m 8- 3- 7-7 0-m 3- 10- 5- 0-m 3- 10- 5- 0-m 3- 10- 5- 0-m 3- 10- 5- 0-m 0-m 3- 10- 5- 0-m 3- 10- 5- 0-m 3- 10- 5- 0-m 0-m 3- 10- 5- 0-m 0-m 3- 10- 5- 8- 3- 10- 0-m 8- 3- 10- 0-m 8- 3- 10- 0-m 8- 3- 7-7 0-m 3- 10- 5- 0-m 3- 10- 5- 8- 3- 10- 0-m 8- 3- 10- 0-m 8- 3- 10- 0-m 8- 3- 7- 7-7 0-m 3- 10- 5- 0-m 3- 10- 5- 8- 3- 10- 0-m 8- 3- 10- 0-m 8- 3- 10- 0-m 8- 3- 7-7
5,Make You Feel My Love,0,3- 10- 1- 8- 8-m 3- 5-7 10-7 3- 3- 10- 1- 8- 8-m 3- 5-7 10-7 3- 3- 10- 1- 8- 8-m 3- 5-7 10-7 3- 8- 3- 7-7 8- 3- 8- 3- 5-7 10-7 3- 10- 1- 8- 8-m 3- 5-7 10-7 3- 3- 10- 1- 8- 8-m 3- 5-7 10-7 3- 8- 3- 7-7 8- 3- 8- 3- 5-7 10-7 3- 10- 1- 8- 8-m 3- 5-7 10-7 3- 5-7 10-7 3-
6,Im Yours,0,0- 7- 9-m 5- 0- 7- 9-m 5- 0- 7- 9-m 5- 0- 7- 9-m 5- 0- 7- 9-m 5- 0- 7- 9-m 5- 0- 7- 9-m 5- 2-7 0- 7- 7-sus4 9-m 5- 0- 7- 9-m 5- 0- 7- 9-m 7- 5- 2-7 0- 4-m 9-m 7- 5- 2-7 0- 7- 9-m 5- 0- 7- 9-m 5- 0- 7- 7-sus4 9-m 5- 0- 7- 7- 9-m 5- 0- 7- 7-sus4 9-m 5- 2-7
7,Hey There Delilah,0,0- 4-m 0- 4-m 0- 4-m 0- 4-m 9-m 5- 7- 9-m 7- 0- 4-m 0- 4-m 9-m 5- 7- 9-m 7- 0- 9-m 0- 9-m 7- 0- 9-m 0- 9-m 0- 0- 4-m 0- 4-m 9-m 5- 7- 9-m 7- 0- 4-m 0- 4-m 9-m 5- 7- 9-m 7- 0- 9-m 0- 9-m 7- 0- 9-m 0- 9-m 7- 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 9-m 7- 0- 4-m 0- 4-m 9-m 5- 7- 9-m 5- 7- 9-m 5- 7- 9-m 7- 0- 9-m 0- 9-m 7- 0- 9-m 0- 9-m 0- 9-m 0- 9-m 0- 9-m 0- 9-m 0- 0-
8,Crazy,1,0-m 3-maj7 8- 7-sus4 7- 0-m 3-maj7 8- 7-sus4 7- 0-m 3- 8- 7-sus4 7- 0- 8- 3-maj7 7-sus4 7- 0-m 3- 8- 7-sus4 7- 0-m 3-maj7 8- 7-sus4 7- 0- 8- 3-maj7 7-sus4 7- 0-m 3- 8- 7-sus4 7- 0-m 3-maj7 8- 7-sus4 7-
9,In Der Weihnachtsbäckerei,0,7- 0- 7- 9-m 5- 0- 7- 2-m 7- 2-m 7- 0- 7- 2-m 7- 0- 7- 9-m 5- 0- 7- 0- 0- 0- 2-m 2-m 7- 7- 7- 0- 0- 0- 2-m 2-m 7- 7- 7- 0- 7- 0- 7- 9-m 5- 0- 7- 2-m 7- 2-m 7- 0- 7- 2-m 7- 0- 7- 9-m 5- 0- 7- 0- 0- 0- 2-m 2-m 7- 7- 7- 0- 0- 0- 2-m 2-m 7- 7- 7- 0- 7- 0- 7- 9-m 5- 0- 7- 2-m 7- 2-m 7- 0- 7- 2-m 7- 0- 7- 9-m 5- 0- 7- 0- 0- 0- 2-m 2-m 7- 7- 7- 0- 0- 0- 2-m 2-m 7- 7- 7- 0- 7- 0- 7- 9-m 5- 0- 7- 2-m 7- 2-m 7- 0- 7- 2-m 7- 0- 7- 9-m 5- 0- 7- 0- 7- 0-
10,Back To Black,1,0-m 5-m 8- 7- 0-m 5-m 8- 7- 0-m 5-m 8- 7- 0-m 5-m 8- 7- 0-m 5-m 8- 7- 0-m 5-m 8- 7- 0-m 0-m 5-m 8- 7- 0-m 5-m 8- 7- 0-m 5-m 8- 7- 0-m 5-m 8- 7- 0-m 8-maj7 3- 7- 0-m 8-maj7 3- 7- 7-7 0-m 5-m 8- 7- 0-m 5-m 8- 7- 0-m
11,Over The Rainbow,0,5-/0 0- 2-m 10-/2 5-/0 0- 2-m 10-/2 10- 10- 5- 9-m 10- 5- 10- 9-7 2-m 10-/2 5- 9-m 10- 5- 10- 5- 0- 2-m 10- 5- 9-m 10- 5- 10- 5- 0- 2-m 10- 5- 9-m 2-m 10- 5- 9-m 2-m 10- 5- 9-m 10- 5- 10- 5- 0- 2-m 10- 5- 9-m 2-m 10- 5- 9-m 2-m 10- 5- 9-m 10- 5- 10- 5- 0- 2-m 10- 5- 9-m 10- 5- 10- 9-7 2-m 10-
12,Fix You,0,0- 4-m 9-m7 7- 0- 4-m 9-m7 7- 0- 4-m 9-m7 7- 0- 4-m 9-m7 7- 0- 4-m 9-m7 7- 0- 4-m 9-m7 7- 0- 4-m 9-m7 7- 0- 4-m 9-m7 7- 0- 4-m 9-m7 7- 5- 5- 0- 7- 5- 5- 0- 7- 5- 5- 0- 7- 0- 4-m 9-m7 7- 0- 4-m 9-m7 7- 0- 4-m 9-m7 7- 0- 4-m 9-m7 7- 0- 4-m 9-m7 7- 5- 5- 0- 7- 5- 5- 0- 7- 5- 5- 0- 7- 0- 5- 0- 7- 9-m 5- 0- 7- 0- 5- 0- 7- 9-m 5- 0- 7- 0- 5- 0- 7- 9-m7 5- 0- 7- 0- 5- 0- 4-m 9-m7 5- 0- 7- 5- 0- 7- 5- 5- 0- 7- 5- 5- 0- 7- 0-
13,Sparks,1,3- 0-m7 8-add9/0 0-m 0-mmaj7 0-m 3-7 0-m6 8-maj7/0 3- 0-m7 3- 0-m7 3- 0-m7 8-add9/0 3- 3- 0-m7 3- 0-m7 8-add9/0 3- 0-m 0-mmaj7 0-m 3-7 0-m6 8-maj7/0 0-m 0-mmaj7 0-m 3-7 0-m6 8-maj7/0 3- 0-m7 3- 0-m7 3- 0-m7 8-add9/0 3- 3- 0-m7 0-mmaj7 0-m7 8-add9/0 3- 0-m 0-mmaj7 0-m 3-7 0-m6 8-maj7/0 0-m 0-mmaj7 0-m 3-7 0-m6 8-maj7/0 3- 0-m7 3- 0-m7 3-
