,0,1
0,Desperado,7- 7-7 0- 0-m 7- 4-m 9-7 2-7 7- 7-7 0- 0-m 7- 4-m 9-7 2-7 7- 7-7 0- 0-m 7- 4-m 9-7 2-7 7- 2- 4-m 11-m 0- 7- 4-m 0- 7- 2- 4-m 11-m 0- 7- 4-m 9-7 9-m 2- 7- 7-7 0- 0-m 7- 4-m 9-7 2-7 7- 7-7 0- 0-m 7- 4-m 9-7 2-7 7- 2- 4-m 11-m 0- 7- 4-m 0- 7- 2- 4-m 11-m 0- 7- 9-m 2- 2-7 7- 7-7 0- 0-m 7- 4-m 9-7 2-7 7- 7-7 0- 0-m 7- 4-m 0- 9-m 7- 11-7 4-m 9-m 2-7 7-
1,Boys Dont Cry,9- 11-m 1-m 2- 2- 1-m 11-m 9- 11-m 1-m 2- 9- 11-m 1-m 2- 1-m 11-m 1-m 11-m 1-m 11-m 1-m 11-m 9- 11-m 1-m 2- 2- 1-m 11-m 9- 11-m 1-m 2- 2- 1-m 11-m 9- 11-m 1-m 2- 9- 11-m 1-m 2- 1-m 11-m 1-m 11-m 1-m 11-m 1-m 11-m 9- 11-m 1-m 2- 2- 1-m 11-m 9- 11-m 1-m 2- 2- 1-m 11-m 9- 11-m 1-m 2- 9- 11-m 1-m 2- 4- 6-m7 4- 6-m7 4- 6-m7 2- 4- 9- 11-m 1-m 2- 9- 11-m 1-m 2- 9- 11-m 1-m 2- 2- 1-m 11-m 9- 11-m 1-m 2- 2- 1-m 11-m 9- 11-m 1-m 2- 2- 1-m 11-m
2,Me And Bobby Mcgee,7- 0-/7 7- 0-/7 7- 7- 7- 7- 7- 7- 7- 2-7 2-7 2-7 2-7 2-7 2-7 2-7 2-7 7- 0-/7 7- 7- 7- 7- 7- 7- 7-7 0- 0- 0- 0- 7- 7- 2-7 2-7 2-7 2-7 0- 0- 7- 7- 2-7 2-7 7- 7- 0- 0- 7- 7- 2-7 2-7 2-7 2-7 2-7 2-7 7- 7- 9- 9- 9- 9- 9- 9- 9- 9- 4-7 4-7 4-7 4-7 4-7 4-7 4-7 4-7 9- 9- 9- 9- 9- 9- 9- 9-7 2- 2- 2- 2- 9- 9- 4-7 4-7 4-7 4-7 2- 2- 9- 9- 4-7 4-7 9- 9- 2- 2- 9- 9- 4-7 4-7 4-7 4-7 4-7 4-7 9- 9- 9- 9- 9- 9- 9- 9- 4-7 4-7 4-7 4-7 4-7 4-7 4-7 4-7 9- 9- 9- 9- 9- 9- 9- 9- 4-7 4-7 4-7 4-7 4-7 4-7 4-7 4-7 9- 9- 9- 9- 9- 9- 9- 9- 4-7 4-7 4-7 4-7 4-7 4-7 4-7 4-7 9- 9-
3,Wholl Stop The Rain,7- 4-m 7- 7- 0- 7- 7- 0- 7- 0- 7- 0- 7- 0- 2- 4-m 7- 7- 0- 7- 7- 11-m 0- 7- 0- 7- 0- 7- 0- 2- 4-m 7- 0- 7- 2- 2- 9-m 0- 4-m 4-m 2- 7- 7- 7- 0- 7- 7- 11-m 0- 7- 0- 7- 0- 7- 0- 2- 4-m
4,Fire And Rain,9- 7- 2- 9- 9- 4- 7- 9- 4-m 2- 9- 9-sus2 9- 4- 7- 9- 4-m 2- 9- 9-sus2 9- 4- 7- 7- 2- 2- 11-m 9- 9-sus2 9- 2- 11-m 9- 9-sus2 9- 2- 11-m 9- 9-sus2 9- 7- 4-m 9- 9-7 9- 4-m 2- 9- 9-sus2 9- 4- 7- 9- 4-m 2- 9- 9-sus2 9- 4- 7- 7- 2- 2- 11-m 9- 9-sus2 9- 2- 11-m 9- 9-sus2 9- 2- 11-m 9- 9-sus2 9- 7- 4-m 9- 9-7 9- 4-m 2- 9- 9-sus2 9- 4- 7- 9- 4-m 2- 9- 9-sus2 9- 4- 7- 7- 2- 2- 11-m 9- 9-sus2 9- 2- 11-m 9- 9-sus2 9- 2- 11-m 9- 9-sus2 9- 7- 4-m 9- 9-7 7- 4-m 9- 7- 4-m 9- 7- 4-m 9-
5,I Will Survive,4-7b9 9-m 2-m 7- 0-maj7 5-maj7 11-m7b5 4-sus4 4- 9-m 2-m 7- 0-maj7 5-maj7 11-m7b5 4-sus4 4- 9-m 2-m 7- 0-maj7 5-maj7 11-m7b5 4-sus4 4- 9-m 2-m 7- 0-maj7 5-maj7 11-m7b5 4-sus4 4- 9-m 9-m 2-m 7- 0-maj7 5-maj7 11-m7b5 4-sus4 4- 9-m 2-m 7- 0-maj7 5-maj7 11-m7b5 4-sus4 4-7 9-m 2-m 7- 0-maj7 5-maj7 11-m7b5 4-sus4 4- 9-m 2-m 7- 0-maj7 5-maj7 11-m7b5 4-sus4 4- 9-m 2-m 7- 0-maj7 5-maj7 11-m7b5 4-sus4 4- 9-m 2-m 7- 0-maj7 5-maj7 11-m7b5 4-sus4 4- 9-m 2-m 7- 0-maj7 5-maj7 11-m7b5 4-sus4 4- 9-m 9-m 2-m 7- 0-maj7 5-maj7 11-m7b5 4-sus4 4- 9-m 2-m 7- 0-maj7 5-maj7 11-m7b5 4-sus4 4-7 9-m 2-m 7- 0-maj7 5-maj7 11-m7b5 4-sus4 4- 9-m 2-m 7- 0-maj7 5-maj7 11-m7b5 4-sus4 4- 9-m 2-m 7- 0-maj7 5-maj7 11-m7b5 4-sus4 4- 9-m
6,Tequila Sunrise,7- 7-6 7- 7-6 7- 7-6 7- 7-6 9-m 2-7 7- 7-6 7- 7-6 7- 7-6 7- 7-6 2- 9-m 2-7 7- 7-6 7- 7-6 7- 7-6 7- 7-6 2- 9-m 2-7 7- 7-6 7- 7-6 4-m 0- 4-m 0- 4-m 9-m 2-7 2- 7- 7-6 7- 7-6 2- 9-m 2-7 7- 7-6 7- 7-6 7- 7-6 7- 7-6 2- 9-m 2-7 7- 7-6 7- 7-6 7- 7-6 7- 7-6 2- 2- 9-m 2-7 7- 7-6 7- 7-6 9-m 2- 11-m 4- 9-m 11-7 4-m7 9-7 7- 7-6 7- 7-6 2- 9-m 2-7 7- 7-6 7- 7-6
7,Take It Easy,7- 0-/7 9-m/7 7- 0-/7 9-m/7 7- 7- 2- 0- 7- 2- 0- 7- 4-m 0- 7- 9-m 0- 4-m 0- 7- 0- 7- 9-m 0- 7- 7- 2- 0- 7- 2- 0- 7- 4-m 2- 0- 7- 9-m 0- 4-m 0- 7- 0- 7- 9-m 0- 7- 7- 2- 0- 7- 2- 0- 7- 4-m 2- 0- 7- 9-m 0- 4-m 2- 7- 2- 9-m7 7- 2- 0- 7- 4-m 0- 7- 9-m 0- 4-m 0- 7- 0- 7- 9-m 0- 7- 0- 0- 7- 7- 0- 0- 7- 7- 0- 0- 7- 2-m7/7 0- 0- 7- 2-m7/7 0- 4-m 0-/7 9-m/7 7-9 7- 2-7 0- 7- 2- 0- 7- 4-m 2- 0- 7- 9-m 0- 4-m 2- 0- 4-m
8,Annies Song,2- 2-sus4 2- 2-sus4 2- 2-sus4 2- 2-sus4 7- 9- 11-m 7- 2- 2-/1 11-m 9- 7- 6-m 4-m 7- 9-7 7- 9- 11-m 7- 2- 2-/1 11-m 9- 7- 6-m 4-m 9-7 2- 2-sus4 2- 2-sus4 7- 9- 11-m 7- 2- 2-/1 11-m 9- 7- 6-m 4-m 7- 9-7 7- 9- 11-m 7- 2- 2-/1 11-m 9- 7- 6-m 4-m 9-7 2- 2-sus4 2- 2-sus4 7- 9- 11-m 7- 2- 2-/1 11-m 9- 7- 6-m 4-m 7- 9-7 9-7 9-7 9-7 7- 9- 11-m 7- 2- 2-/1 11-m 9- 7- 6-m 4-m 9-7 2- 2-sus4 2- 2-sus4 7- 9- 11-m 7- 2- 2-/1 11-m 9- 7- 6-m 4-m 7- 9-7 7- 9- 11-m 7- 2- 2-/1 11-m 9- 7- 6-m 4-m 9-7 2- 2-sus4
9,Night Moves,7- 5- 0- 5- 7- 5- 0- 5- 7- 5- 0- 5- 7- 5- 0- 5- 7- 5- 0- 5- 7- 5- 0- 5- 7- 5- 0- 0- 2- 4-m 2- 0- 0- 2- 4-m 2- 0- 0- 2- 4-m 2- 0- 7- 5- 0- 5- 7- 5- 0- 5- 7- 5- 0- 5- 7- 5- 0- 5- 7- 5- 0- 5- 7- 5- 0- 0- 2- 4-m 2- 0- 0- 2- 4-m 2- 0- 0- 2- 4-m 2- 0- 7- 5- 0- 5- 7- 5- 0- 5- 4-m 4-m 2- 7- 7-7 0-maj7 7- 0-maj7 5- 2- 7- 7- 0- 0-maj7 7- 7- 5- 0- 5- 7- 5- 0- 5- 7- 5- 0- 5- 7- 5- 0- 5- 7- 5- 0- 5- 7- 5- 0- 5- 7- 5- 0- 5- 7- 5- 0- 5- 7- 5- 0- 5- 7- 5- 0- 5- 4-m 11-m 9-m 0- 7- 7-
