,0,1
0,Dont Cry,9-m 2-m 7- 0- 9-m 2-m 7- 0- 9-m 2-m 7- 0- 9-m 2-m 7- 0- 5- 7- 9-m 5- 7- 9-m 5- 7- 0- 9-m 5- 7- 9-m 9-m 2-m 7- 0- 9-m 2-m 7- 0- 9-m 2-m 7- 0- 9-m 2-m 7- 0- 5- 7- 9-m 5- 7- 9-m 5- 7- 0- 9-m 5- 7- 9-m 9-m 2-m 7- 0- 9-m 2-m 7- 0- 9-m 2-m 7- 0- 9-m 2-m 7- 0- 5- 7- 9-m 5- 7- 9-m 5- 7- 0- 9-m 5- 7- 9-m
1,Just Like Heaven,9- 4- 11-m 2- 9- 4- 11-m 2- 9- 4- 11-m 2- 9- 4- 11-m 2- 9- 4- 11-m 2- 9- 4- 11-m 2- 9- 4- 11-m 2- 9- 4- 11-m 2- 9- 4- 11-m 2- 9- 4- 11-m 2- 6-m 7- 6-m 7- 6-m 7- 2- 9- 4- 11-m 2- 9- 4- 11-m 2- 9- 4- 11-m 2- 9- 4- 11-m 2- 9- 4- 11-m 2- 9- 4- 11-m 2- 6-m 7- 6-m 7- 6-m 7- 2-
2,Livin On A Prayer,4-m 0- 2- 4-m 0- 2- 4-m 4-m 4-madd9 4-m 0- 2- 4-m 4-m 4-madd9 4-m 0- 2- 4-m 0- 2- 4-m 0- 2- 4-m 0- 2- 4-m 0- 2- 4-m 0- 2- 7- 0- 2- 4-m 0- 2- 7- 0- 2- 4-m 4-madd9 4-m 0- 2- 4-m 4-m 4-madd9 4-m 0- 2- 4-m 0- 2- 4-m 0- 2- 4-m 0- 2- 4-m 0- 2- 4-m 0- 2- 7- 0- 2- 4-m 0- 2- 7- 0- 2- 0-sus2 4-m 0- 2- 7- 0- 2- 4-m 0- 2- 7- 0- 4-m 4-m 0- 2- 4-m 0- 2- 7-m 3- 5- 10- 3- 5- 7-m 3- 5- 10- 3- 5-
3,Santa Claus Is Coming To Town,0- 0- 5-/0 7-/0 0- 5- 7- 0- 5- 7- 0- 5- 7- 0- 5- 7- 0- 9-m 5- 7- 0- 5- 7- 0- 5- 7- 0- 5- 7- 0- 5- 7- 0- 5- 7- 0- 9-m 5- 7- 0- 0-7 7-m 0- 5- 7-m 0- 5- 2-7 7-6 0- 5- 7- 0- 5- 7- 0- 5- 7- 0- 5- 7- 0- 9-m 5- 7- 0- 5- 7- 0- 5- 7- 0- 5- 7- 0- 5- 7- 0- 5- 7- 0- 9-m 5- 7- 0- 0-7 7-m 0- 5- 7-m 0- 5- 2-7 7-6 0- 0-/10 9-m 8- 0- 0-/10 9-m 8- 0- 5- 7- 0- 5- 7- 0- 9-m 5- 7- 0- 0- 0- 5-/0 7-/0 0- 5- 7-
4,Thunder Road,2- 11-m 2- 7- 2- 6-m 7- 9- 2- 7- 2- 9- 7- 9- 2- 7- 2- 9- 2- 7- 2- 7- 2- 9- 7- 9- 2- 7- 2- 9- 2- 11-m 2- 7- 2- 6-m 7- 9- 2- 11-m 2- 7- 2- 6-m 7- 9- 2- 7- 2- 7- 2- 6-m 7- 9- 2- 7- 2- 9- 2- 11-m 2- 7- 2- 6-m 7- 9- 2- 11-m 2- 7- 2- 6-m 7- 9- 2- 2- 7- 9- 2- 11-m 7- 9- 7- 9- 6-m 11-m 7- 4-m 9- 2- 7- 2- 7- 2- 6-m 7- 9- 2- 7- 6-m 7- 4-m 9- 7- 4-m 7- 9- 2-
5,Still Loving You,4-m 2- 0- 11-7 4-m 6- 11- 4-m 6- 11- 4-m 2- 0- 11-7 4-m 6- 11- 4-m 6- 11- 4-m 0- 7- 2- 4-m 0- 7- 2- 4-m 9-m 11- 4-m 0- 2- 4-m 4-m 2- 0- 11-7 4-m 6- 11- 4-m 6- 11- 4-m 0- 7- 2- 4-m 0- 7- 2- 4-m 9-m 11- 4-m 0- 2- 4-m 0- 7- 2- 4-m 0- 7- 2- 4-m 9-m 11- 4-m 0- 2- 4-m 0- 7- 2- 4-m 0- 7- 7- 2- 4-m 0- 7- 7- 2- 4-m 0- 7- 2-
6,Christmas Time,0- 7- 9-m 5- 0- 7- 0- 4-7 9-m 9-m7 7- 0- 7- 9-m 5- 0- 7- 0- 4-7 9-m 9-m7 2-m 2-m7 7- 0- 5- 0- 9-m 7- 0- 5- 0- 7- 0- 0- 7- 9-m 5- 0- 7- 0- 4-7 9-m 7- 0- 7- 9-m 5- 0- 7- 0- 4-7 9-m 9-m7 2-m 2-m7 7- 0- 5- 0- 9-m 7- 0- 5- 0- 7- 0- 7- 0- 7- 0- 9-m 2-7 7- 7-7 0- 5- 2- 7- 2- 11-m 9- 2- 7- 2- 9- 2- 2- 7- 2- 11-m 9- 2- 7- 2- 9- 2- 2- 9- 2- 2- 9- 11-m 7- 2- 9- 2- 6-7 11-m 11-m7 9- 2- 9- 11-m 7- 2- 9- 2- 6-7 11-m 11-m7 4-m 4-m7 9- 2- 7- 2- 11-m 9- 2- 7- 2- 9- 2- 2- 9- 11-m 7- 2- 9- 2- 6-7 11-m 9- 2- 9- 11-m 7- 2- 9- 2- 6-7 11-m 11-m7 4-m 4-m7 9- 2- 7- 2- 11-m 9- 2- 7- 2- 9- 2- 9- 2- 9- 2- 11-m 4-7 9- 9-7 2- 7- 4- 9- 4- 1-m 11- 4- 9- 4- 11- 4- 4- 9- 4- 1-m 11- 4- 9- 4- 11- 4- 4- 11- 4- 4- 11- 1-m 9- 4- 11- 4- 8-7 1-m 1-m7 11- 4- 11- 1-m 9- 4- 11- 4- 8-7 1-m 1-m7 6-m 6-m7 11- 4- 9- 4- 1-m 11- 4- 9- 4- 11- 4- 4- 11- 1-m 9- 4- 11- 4- 8-7 1-m 11- 4- 11- 1-m 9- 4- 11- 4- 8-7 1-m 1-m7 6-m 6-m7 11- 4- 9- 4- 1-m 11- 4- 9- 4- 11- 4- 11- 4- 11- 4- 1-m 6-7 11- 11-7 4- 9- 6- 11- 6- 3-m 1- 6- 11- 6- 1- 6- 6- 11- 6- 3-m 1- 6- 11- 6- 1- 6- 6- 1- 6- 5- 0- 2-m 10- 5- 0- 5- 9-7 2-m 2-m7 0- 5- 0- 2-m 10- 5- 0- 5- 9-7 2-m 2-m7 7-m 7-m7 0- 5- 10- 5- 2-m 0- 5- 10- 5- 0- 5- 5- 0- 2-m 10- 5- 0- 5- 9-7 2-m 0- 5- 0- 2-m 10- 5- 0- 5- 9-7 2-m 2-m7 7-m 7-m7 0- 5- 10- 5- 2-m 0- 5- 10- 5- 0- 5- 0- 5- 0- 5- 2-m 7-7 0- 0-7 5- 10- 7- 0- 7- 4-m 2- 7- 0- 7- 2- 7- 7- 0- 7- 4-m 2- 7- 0- 7- 2- 7- 7- 2- 7- 7- 2- 4-m 0- 7- 2- 7- 11-7 4-m 4-m7 2- 7- 2- 4-m 0- 7- 2- 7- 11-7 4-m 4-m7 9-m 9-m7 2- 7- 0- 7- 4-m 2- 7- 0- 7- 2- 7- 7- 2- 4-m 0- 7- 2- 7- 11-7 4-m 2- 7- 2- 4-m 0- 7- 2- 7- 11-7 4-m 4-m7 9-m 9-m7 2- 7- 0- 7- 4-m 2- 7- 0- 7- 2- 7- 2- 7- 2- 7- 4-m 9-7 2- 2-7 7- 0- 9- 2- 9- 6-m 4- 9- 2- 9- 4- 9- 9- 2- 9- 6-m 4- 9- 2- 9- 4- 9- 9- 4- 9- 9- 4- 6-m 2- 9- 4- 9- 1-7 6-m 6-m7 4- 9- 4- 6-m 2- 9- 4- 9- 1-7 6-m 6-m7 11-m 11-m7 4- 9- 2- 9- 6-m 4- 9- 2- 9- 4- 9- 9- 4- 6-m 2- 9- 4- 9- 1-7 6-m 4- 9- 4- 6-m 2- 9- 4- 9- 1-7 6-m 6-m7 11-m 11-m7 4- 9- 2- 9- 6-m 4- 9- 2- 9- 4- 9- 4- 9- 4- 9- 6-m 11-7 4- 4-7 9- 2- 11- 4- 11- 8-m 6- 11- 4- 11- 6- 11- 11- 4- 11- 8-m 6- 11- 4- 11- 6- 11- 11- 6- 11-
7,Dont You Forget About Me,2- 4- 2- 4-m 0- 2- 2- 4- 2- 4-m 0- 2- 4- 2- 9- 2- 4- 2- 9- 2- 4- 2- 9- 2- 4- 2- 9- 2- 4- 2- 9- 2- 4- 2- 9- 9- 0- 7- 2- 9- 0- 7- 2- 9- 2- 4- 2- 4-m 0- 2- 2- 4- 2- 4-m 0- 2- 4- 2- 9- 2- 4- 2- 9- 2- 4- 2- 9- 2- 4- 2- 9- 2- 4- 2- 9- 2- 4- 2- 9- 2- 4- 2- 9- 2- 4- 2- 9- 2- 4- 2- 9- 2- 4- 2- 9- 2- 4- 2- 9- 2- 4- 2- 9- 2- 4- 2- 9- 2- 4- 2- 9- 2- 4- 2- 9- 2- 4- 2-
8,Lovesong,9-m 7- 5- 4-m7 9-m 7- 5- 4-m7 9-m 7- 5- 4-m7 9-m 7- 5- 4-m7 9-m 7- 5- 4-m7 9-m 7- 5- 4-m7 9-m 7- 5- 4-m7 9-m 7- 5- 4-m7 9-m 7- 5- 4-m7 9-m 7- 5- 4-m7 5- 7- 9-m 0- 5- 7- 9-m 0- 5- 7- 9-m 0- 5- 7- 9-m 7- 5- 4-m7 9-m 7- 5- 4-m7 9-m 7- 5- 4-m7 9-m 7- 5- 4-m7 9-m 7- 5- 4-m7 5- 7- 9-m 0- 5- 7- 9-m 0- 5- 7- 9-m 0- 5- 7- 9-m
9,Forever And Ever Amen,2- 7- 2- 7- 2- 7- 2- 4- 9- 2- 7- 2- 7- 2- 7- 2- 4- 9- 2- 7- 2- 7- 2- 7- 2- 4- 9- 2- 7- 2- 7- 4- 7- 9- 2- 7- 4- 9- 2- 7- 9- 2- 7- 4- 9- 2- 2- 7- 2- 7- 2- 7- 2- 4- 9- 2- 7- 2- 7- 2- 7- 2- 4- 9- 2- 7- 2- 7- 2- 7- 2- 4- 9- 2- 7- 2- 7- 4- 7- 9- 2- 7- 4- 9- 2- 7- 9- 2- 7- 4- 9- 11-m 7- 4- 9- 2-
