,0,1
10,Mardy Bum,4- 9- 2- 7- 11- 4- 2- 6- 7- 6-m 4-m 9- 2- 6- 7- 6-m 4-m 9- 2- 6- 7- 6-m 4-m 9- 7- 9- 2- 9- 11-m 7- 9- 2- 9- 11-m 7- 9- 2- 2- 6- 7- 6-m 4-m 9- 2- 6- 7- 6-m 4-m 9- 2- 6- 7- 6-m 4-m 9- 7- 9- 2- 9- 11-m 7- 9- 2- 9- 11-m 7- 9- 6-5 6-5 7-5 6-5 7-5 6-5 7-5 6-5 7-5 9-5 2- 6- 7- 6-m 4-m 9- 7- 9- 2- 9- 11-m 7- 9- 2- 9- 11-m 7- 9- 2-
11,How You Remind Me,9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 9-m 0- 7- 2-/6 9-m 0- 7- 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 9-m 0- 7- 9-m 0- 7- 2-/6 9-m 0- 7- 9-m 0- 7- 2-/6 9-m 0- 7- 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7- 2-/6 9-m 0- 7-
12,Sex On Fire,4- 1-m 4- 4- 1-m 1-m 4- 4- 1-m 1-m 4- 1-m 9- 4- 4- 1-m 1-m 4- 4- 1-m 9- 4- 1-m 9- 4- 1-m 9- 4- 4- 1-m 1-m 4- 4- 1-m 1-m 1-m 4- 1-m 9- 4- 1-m 9- 4- 1-m 9- 4- 1-m 9- 4- 1-m 9- 4-
13,Cant Stop,4-m 2- 11-m 0- 4-m 2- 11-m 0- 4-m 2- 11-m 0- 4-m 2- 11-m 0- 7- 2- 11-m 0- 7- 2- 11-m 0- 7- 2- 11-m 0- 7- 2- 11-m 0- 4-m 2- 11-m 0- 4-m 2- 11-m 0- 4-m 2- 11-m 0- 4-m 2- 11-m 0- 7- 2- 11-m 0- 7- 2- 11-m 0- 7- 2- 11-m 0- 7- 2- 11-m 0- 4-m 2- 11-m 0- 4-m 2- 11-m 0- 4-m 2- 11-m 0- 4-m 2- 11-m 0- 4-m 2- 11-m 0- 4-m 2- 11-m 0- 4-m 2- 11-m 0- 4-m 2- 11-m 0- 4-m 2- 11-m 0-
14,Use Somebody,0- 4-m 5- 0- 4-m 5- 0- 4-m 5- 5- 9-m 0- 5- 5- 9-m 0- 5- 5- 0- 4-m 5- 0- 4-m 5- 5- 9-m 0- 5- 5- 9-m 0- 5- 5- 0- 0- 4-m 5- 0- 4-m 5- 0- 4-m 5- 5- 9-m 0- 5- 5- 9-m 0- 5- 5- 0- 4-m 5- 0- 4-m 5- 0- 4-m 5- 0- 0- 4-m 5- 0- 0- 4-m 5- 0- 0- 4-m 5- 0- 4-m 5-
15,Wayfaring Stranger,9-m 2-m 4- 9-m 9-m 2-m 9-m 2-m 4- 9-m 5- 0- 5- 4- 4-7 4- 9-m 2-m 4- 9-m 9-m 2-m 4- 9-m 9-m 2-m 4- 9-m 9-m 2-m 9-m 2-m 4- 9-m 5- 0- 5- 4- 4-7 4- 9-m 2-m 4- 9-m 9-m 2-m 4- 9-m
16,Feel Good Inc,2-m 9-m 7-m 2-m 3-m 10-m 8-m 3-m 4-m 11-m 9-m 4-m 2-m 9-m 7-m 2-m 2-m 9-m 7-m 2-m 2-m 9-m 7-m 2-m 2-m 9-m 7-m 2-m 2-m 9-m 7-m 9-m 2-m 9-m 7-m 9-m 2-m 9-m 7-m 9-m 2-m 9-m 7-m 9-m 2-m 9-m 7-m 2-m 2-m 9-m 7-m 2-m 2-m 9-m 7-m 2-m 2-m 9-m 7-m 2-m 2-m 9-m 7-m 9-m 2-m 9-m 7-m 9-m 2-m 9-m 7-m 9-m 2-m 9-m 7-m 9-m 2-m 9-m 7-m 2-m 2-m 9-m 7-m 2-m 2-m 9-m 7-m 2-m 2-m 9-m 7-m 2-m
17,Dont Know Why,10-maj7 10-7 3- 2- 7-m7 0-7 5- 10-maj7 10-7 3-maj7 2-aug 7-m7 0-7 5-7sus 10- 10-maj7 10-7 3-maj7 2-aug 7-m7 0-7 5-7sus 10- 7-m7 0-7 5-7sus 10-maj7 10-7 3-maj7 2-aug 7-m7 0-7 5-7sus 10- 10-maj7 10-7 3-maj 2-aug 7-m7 0-7 5-7sus 10- 7-m7 0-7 5- 5-7 7-m7 0-7 5-7 5-7/3 10-/2 5-/0 10-maj7 10-7 3-maj7 2-aug 7-m7 0-7 5-7sus 10- 10-maj7 10-7 3-maj7 2-aug 7-m7 0-7 5-7sus 10- 7-m7 0-7 5- 5-7 7-m7 0-7 5-7 10-maj7 10-7 3-maj7 2-7#5 7-m7 0-7 5-7sus 10-maj7 3-maj7 2-aug 7-m7 0-7 5-7sus 10-maj7 10-7 3-maj7 2-aug 7-m7 0-7 5-7sus 10- 10-maj7 10-7 3-maj7 2-aug 7-m7 0-7 5-7 10- 7-m7 0-7 5-7 10- 7-m7 0-7 5-7sus 10-
18,Joy To The World Unspeakable Joy,2- 7- 2- 7- 9- 11-m 7- 9- 11-m 7- 2- 7- 2- 11-m 9- 7- 4-m 9- 2- 2- 7- 2- 7- 9- 11-m 7- 9- 11-m 7- 2- 7- 2- 11-m 9- 7- 4-m 9- 2- 7- 2- 9- 7- 7- 2- 9- 4-m 7- 4- 9- 11- 1-m 9- 11- 1-m 9- 4-/8 9- 4-/8 1-m 11- 9- 6-m 11- 4- 9- 4- 11- 9- 9- 4- 11- 6-m 9-
19,This Love,4-7/8 9-m 2-m 11-dim7 4-7/8 9-m 2-m 11-dim7 4-7/8 9-m 2-m 11-dim7 9-m 2-m 7-7 0- 9-m 2-m 7-7 0- 9-m 2-m 7-7 0- 9-m 2- 5- 4- 4-7/8 9-m 2-m 11-dim7 4-7/8 9-m 2-m 11-dim7 4-7/8 9-m 2-m 11-dim7 9-m 2-m 7-7 0- 9-m 2-m 7-7 0- 9-m 2-m 7-7 0- 9-m 2- 5- 4- 4-7/8 9-m 2-m 11-dim7 2-m 0- 4-7/8 9-m 2-m 0- 4-7 9-m 2-m 7-7 0- 9-m 2-m 7-7 0- 9-m 2-m 7-7 0- 9-m 2- 5- 4- 9-m 2-m 7-7 0- 9-m 2-m 7-7 0- 9-m 2-m 7-7 0- 9-m 2- 5- 4- 4-7/8 9-m 2-m 11-dim7
20,O Holy Night,7- 0- 7- 7- 2- 7- 7- 0- 7- 11-m 6- 11-m 2- 7- 2- 7- 4-m 11-m 9-m 4-m 7- 2- 7- 0- 7- 2- 7- 2- 7- 0- 7- 2- 7- 7- 0- 7- 7- 2- 7- 7- 0- 7- 11-m 6- 11-m 2- 7- 2- 7- 4-m 11-m 9-m 4-m 7- 2- 7- 0- 7- 2- 7- 2- 7- 0- 7- 2- 7- 7- 0- 7- 7- 2- 7- 7- 0- 7- 11-m 6- 11-m 2- 7- 2- 7- 4-m 11-m 9-m 4-m 7- 2- 7- 0- 7- 2- 7- 2- 7- 0- 7- 2- 7-
21,The Middle,2- 9- 7- 2- 2- 9- 7- 2- 2- 9- 7- 2- 2- 9- 7- 2- 2- 9- 7- 2- 2- 9- 7- 2- 2- 9- 7- 2- 9- 2- 9- 2- 7- 2- 9- 2- 9- 7- 2- 2- 9- 7- 2- 2- 9- 7- 2- 2- 9- 7- 2-
22,Lua,7- 7- 0- 0- 7- 0- 7- 0- 9-m 2- 9-m 0- 9-m 2- 7- 7- 0- 7- 0- 9-m 2- 9-m 0- 9-m 2- 7- 0- 7- 0- 7- 9-7 0- 4-m 7- 2- 0- 9-m 0- 9-m 2- 7- 7- 0- 7- 0- 9-m 2- 9-m 0- 9-m 2- 7- 7- 0- 7- 0- 9-m 2- 9-m 0- 9-m 2- 7- 0- 7- 0- 7- 9-7 0- 4-m 7- 2- 0- 9-m 0- 9-m 2- 7- 9-m 0- 9-m 2- 4-m 9-m 0- 9-m 0- 9-m 0- 7-
23,Somewhere Only We Know,9- 9-maj7 11-m 4-4 4- 4-4 9- 9-maj7 11-m 4-sus4 4- 4-sus4 9- 9-maj7 11-m 4-sus4 4- 4-sus4 6-m 1-m 2- 2-6 4- 6-m 1-m 2- 2-6 4- 9- 9-maj7 11-m 4-sus4 4- 4-sus4 9- 9-maj7 11-m 4-sus4 4- 6-m 1-m 2- 2-6 4- 6-m 1-m 2- 2-6 4- 11-m 9-/1 4- 11-m 9-/1 4- 11-m 9-/1 4- 2- 4- 9- 2- 4- 2- 4- 6-m 1-m 2- 2-6 4- 6-m 1-m 2- 2-6 4- 11-m 9-/1 4- 11-m 9-/1 4- 11-m 9-/1 4- 2- 4- 11-m 9-/1 4- 11-m 9-/1 4- 2- 4- 9- 2- 4- 2- 4- 2- 9-
24,I Am The Highway,0- 7- 2-m 9-m 9-madd9 5- 0- 7- 9-m 5- 0- 7- 9-m 5- 0- 9-m 7- 0- 9-m 5- 0- 9-m 7- 0- 9-m 0- 7- 2-m 9-m 0- 7- 2-m 4- 9-madd9 5- 0- 7- 9-m 5- 0- 7- 9-m 5- 0- 9-m 7- 0- 9-m 5- 0- 9-m 7- 0- 9-m 0- 7- 2-m 9-m 0- 7- 2-m 9-m 0- 7- 2-m 9-m 0- 7- 2-m 4- 4- 5- 0- 7- 9-m 0- 7- 2-m 9-m 0- 7- 2-m 9-m 0- 7- 2-m 9-m 0- 7- 2-m 4- 4- 9-madd9
25,Ill Be Home For Christmas,7- 10-dim7 9-m 2-6 7- 10-dim7 9-m7 2-7sus4 2-7 7-6 4-7b9 9-m 9-m7 2-7 7- 4-m 9-7 9-6 2-7 7- 10-dim7 9-m7 2-7 7-6 4-7b9 9-m 9-m(maj7) 9-m7 0-6 0-m7 7- 2-m/5 4-7 9-m 2-7 7- 7- 7-/11 11-dim 9-m7 2-9 2-7b9 7- 10-dim7 9-m7 2-6 2-7 7-6 4-7b9 9-m 9-m7 2-7 7- 4-m 9-7 9-6 2-9 2-7 7- 10-dim7 9-m7 2-7 7-6 4-7b9 4-7 9-m 9-m(maj7) 9-m7 0-6 0-m7 7- 2-m6/5 4-7 9-m 2-7 7-
26,Anyone Else But You,7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7- 0-maj7 7-
27,Green Eyes,7- 2- 9-m 0- 0-/11 2-sus4 7- 2- 9-m 7- 2- 9-m 7- 2- 9-m 7- 2- 9-m 9-m 0- 7- 2- 9-m 0- 7- 2- 0- 0-/11 9-m 0- 7- 5- 0- 0-/11 9-m 0- 7- 5- 0- 9-m 7- 2- 9-m 7- 2- 9-m 7- 2- 9-m 7- 2- 9-m 9-m 0- 7- 2- 2-sus4 2- 9-m 0- 7- 2- 2-sus4 2- 9-m 0- 7- 5- 0- 0- 0-/11 9-m 0- 7- 5- 0- 0- 0-/11 9-m 7- 9-m 7- 7- 2- 9-m 7- 2- 9-m
28,Sparks,10-m7 10-mmaj9 10-m7/1 1-9 7-dim 6-maj7 1-maj7 10-m7 3-madd9 1- 10-m7 10-m 10-m7/1 1-9 7-dim 6-maj7 1-maj7 10-m7 3-madd9 1- 1-maj7 10-m7 1-maj7 10-m7 3-madd9 1-maj7 1- 10-m7 10-m(maj9) 10-m7/1 1-9 7-dim 7-maj7 1-maj7 10-m7
29,Joy To The World,9- 2- 11-m7 4-7 9- 2- 11-m7 4-7 9- 2- 4- 6-m 2- 9-/1 2- 11-m7 4-7 9- 2- 11-m7 4-7 9-/1 2- 9- 4- 9- 9- 2- 11-m7 4-7 9- 6-m7 11-m7 4-7 9- 2- 11-m7 4-7 9- 2- 4- 6-m 2- 9-/1 2- 11-m7 4-7 9- 2- 11-m7 4-7 9-/1 2- 9- 4- 9- 9- 2- 11-m7 4-7 9- 6-m7 11-m7 4-7 9- 2- 11-m7 4-7 9- 2- 4- 6-m 2- 9-/1 2- 6-m 2- 9- 2- 11-m7 4-7 9-/1 2- 9- 4- 9-
30,Were Going To Be Friends,7- 7- 0- 7- 2- 0- 7- 2- 0- 7- 7- 7- 0- 7- 2- 0- 7- 2- 0- 7- 7- 7- 0- 7- 2- 0- 7- 2- 0- 7- 7- 7- 0- 7- 2- 0- 7- 2- 0- 7- 0- 7- 0- 7- 9- 0- 2- 7- 7- 0- 7- 2- 0- 7- 2- 0- 7- 2- 0- 7-
31,Hero Of War,4- 8-m 9- 4- 9- 4- 11- 4- 8-m 9- 4- 9- 4- 11- 1-m 9- 4- 11- 1-m 9- 4- 11- 4- 8-m 9- 4- 9- 4- 11- 4- 8-m 9- 4- 9- 4- 11- 1-m 9- 4- 11- 1-m 9- 4- 11- 4- 8-m 9- 4- 9- 4- 11- 4- 8-m 9- 4- 9- 4- 11- 1-m 9- 4- 11- 1-m 9- 4- 11- 4- 8-m 9- 4-
32,The Reason,0- 9-m 9-m7 5- 5-maj7/9 7- 7-6sus4 10- 0- 0- 9-m 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 0- 9-m 0- 9-m 5- 7- 0- 9-m 5- 7- 10- 0- 10- 0- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0-
33,Wavin Flag,0- 5- 9-m 7- 0- 0- 5- 9-m 7- 0- 5- 9-m 7- 0- 7- 9-m 7- 5- 0- 5- 7- 0- 7- 9-m 7- 5- 0- 5- 7- 0- 7- 9-m 7- 5- 0- 5- 7- 0- 5- 9-m 7- 0- 5- 9-m 7- 0- 7- 9-m 7- 5- 0- 5- 7- 0- 7- 9-m 7- 5- 0- 5- 7- 0- 7- 9-m 7- 5- 0- 5- 7- 0- 5- 9-m 7- 0- 5- 9-m 7- 0- 5- 9-m 7- 0- 5- 9-m 7- 0- 5- 9-m 7- 0- 5- 9-m 7- 0- 5- 9-m 7- 0- 5- 9-m 7- 0- 5- 9-m 7- 0- 5- 9-m 7-
34,Dani California,9-m 7- 2-m 9-m 9-m 7- 2-m 9-m 9-m 7- 2-m 9-m 9-m 7- 2-m 9-m 9-m 7- 2-m 9-m 9-m 7- 2-m 9-m 9-m 7- 2-m 9-m 9-m 7- 2-m 9-m 9-m 7- 2-m 9-m 9-m 7- 2-m 5- 0- 2-m 7- 5- 0- 2-m 7- 5- 0- 2-m 7- 5- 0- 2-m 9-m 7- 2-m 9-m 9-m 7- 2-m 9-m 9-m 7- 2-m 9-m 9-m 7- 2-m 9-m 9-m 7- 2-m 9-m 9-m 7- 2-m 5- 0- 2-m 7- 5- 0- 2-m 7- 5- 0- 2-m 7- 5- 0- 2-m 11-m 7- 2- 6- 11-m 7- 2- 6- 11-m 7- 2- 6- 11-m 9-m 7- 2-m 9-m 9-m 7- 2-m 9-m 9-m 7- 2-m 9-m 9-m 7- 2-m 4-7 5- 0- 2-m 7- 5- 0- 2-m 7- 5- 0- 2-m 7- 5- 0- 2-m 5- 0- 2-m 7- 5- 0- 2-m 7- 5- 0- 2-m 7- 5- 0- 2-m
35,Before He Cheats,4-m 7- 2- 0- 4-m 7- 2- 0- 4-m 7- 2- 0- 4-m 7- 2- 0- 4-m 7- 2- 0- 2- 0- 4-m 0- 4-m 0- 4-m 11-7 0- 4-m 0- 4-m 0- 2- 4-m 4-m 7- 2- 0- 4-m 7- 2- 0- 4-m 7- 2- 0- 2- 0- 4-m 0- 4-m 0- 4-m 11-7 0- 4-m 0- 4-m 0- 2- 4-m 7- 2- 0- 2- 4-m 2- 0- 2- 4-m 2- 0- 7- 2- 0- 4-m 0- 4-m 0- 4-m 11-7 0- 4-m 0- 4-m 0- 2- 4-m 0- 2- 4-m 0- 2- 4-m 2- 0- 2- 0- 4-m
36,Welcome To The Black Parade,7- 2-/6 4-m 2- 0- 7-/11 9-m 2- 7- 2-/6 4-m 2- 0- 7-/11 9-m 2- 7- 2-/6 4-m 2- 0- 7-/11 9-m 2- 7- 2-/6 4-m 2- 0- 7-/11 9-m 2- 7- 2-/6 4-m 2- 0- 7-/11 9-m 2- 7- 2-/6 4-m 2- 0- 7-/11 9-m 2- 7- 2-/6 4-m 2- 0- 7-/11 9-m 2- 7- 2-/6 4-m 2- 0- 2- 7- 2-/6 4-m 0- 0- 7- 2- 7- 2-/6 4-m 0- 0- 7- 2- 7- 2-/6 4-m 2- 0- 7- 2- 7- 2-/6 4-m 2- 0- 2- 7- 2-/6 4-m 0- 7- 2- 7- 2-/6 4-m 0- 0- 7- 2- 7- 2-/6 4-m 2- 0- 7- 2- 7- 2-/6 4-m 2- 0- 2- 0- 11- 4-m 11- 4-m 0- 0-m 7- 2-/6 4-m 2- 0- 7- 0- 2- 7- 7- 2-/6 4-m 2- 0- 7- 0- 2- 9- 4-/8 6-m 4- 2- 9- 4- 4- 4- 9- 4-/8 6-m 4- 2- 4- 9- 4-/8 6-m 4- 2- 4- 9- 4-/8 6-m 4- 2- 4- 4- 9- 4-/8 6-m 4- 2- 4- 4- 9-
37,Misery Business,4-m 7- 2- 0-2 0- 4-m 2- 4-m 0- 4-m 2- 4-m 0- 4-m 2- 4-m 0- 4-m 2- 4-m 0- 4-m 2- 4-m 0- 4-m 2- 4-m 0- 4-m 2- 2- 2- 2- 2- 0-2 7- 2- 4-m 2- 0-2 7- 2- 4-m 2- 0-2 2- 0-2 2- 4-m 2- 4-m 0- 0- 0- 0- 4-m 2- 4-m 0- 4-m 2- 4-m 0- 4-m 2- 4-m 0- 4-m 2- 4-m 0- 4-m 2- 2- 2- 2- 2- 0-2 7- 2- 4-m 2- 0-2 7- 2- 4-m 2- 0-2 2- 0-2 2- 0-2 7- 2- 4-m 2- 0-2 2- 4-m 2- 0-2 7- 2- 4-m 2- 0-2 7- 2- 0- 0-2 7- 2- 4-m 2- 0-2 7- 2- 4-m 2- 0-2 7- 2- 4-m 2- 0-2 7- 2- 4-m 2- 0-2 7- 2- 4-m 2- 0-2 7- 2- 4-m 2- 0-2 7- 2- 4-m 2- 0-2 2- 0-2 2- 4-m 2- 4-m 0- 4-m 2- 4-m 0- 0- 0- 0-
38,Just Breathe,0- 7- 0- 7- 0- 7- 0- 7- 9-m 5- 0- 7- 0- 7- 0- 7- 0- 7- 9-m 5- 7- 2-m 7- 2-m 5- 9-m 2-m 0- 7- 7-7 0- 7- 0- 7- 9-m 5- 7- 2-m 7- 2-m 5- 9-m 2-m 0- 7- 7-7 0- 7- 0- 7- 9-m 5- 9-m 5-
39,Life Is A Highway,2-m 0- 10- 10- 5-/9 5- 10- 5- 0- 10- 5- 0- 2-m 0- 10- 10- 5-/9 5- 10- 5- 0- 10- 5- 0- 10- 5- 0- 10- 5- 0- 2-m 0- 10- 7- 2-m 0- 10- 5- 0- 10- 0- 2-m 0- 10- 5- 0- 10- 0- 10- 5- 0- 10- 5- 0- 2-m 0- 10- 7- 2-m 0- 10- 5- 0- 10- 0- 2-m 0- 10- 5- 0- 10- 0- 2-m 0- 10- 5- 0- 10- 0- 2-m 0- 10- 5- 0- 10- 0- 7-m 10- 2-m 0- 7-m 10- 2-m 0- 2-m 0- 10- 10- 5-/9 5- 10- 5- 0- 10- 5- 0- 2-m 0- 10- 10- 5-/9 5- 10- 5- 0- 10- 5- 0- 2-m 0- 10- 7- 2-m 0- 10- 5- 0- 10- 0- 2-m 0- 10- 5- 0- 10- 0- 2-m 0- 10- 5- 0- 10- 0- 2-m 0- 10- 5- 0- 10- 0- 2-m 0- 10- 5- 0- 10- 0- 2-m 0- 10- 5- 0- 10- 0-
