,0,1
0,Seven Nation Army,4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 7- 9- 4-m 7- 0- 11- 7- 9- 4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 7- 9- 4-m 7- 0- 11- 7- 9- 4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 4-m 7- 0- 11- 7- 9-
1,Mockingbird,4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11 4-m 0-/7 2-/9 4-m/11
2,Accidentally In Love,7- 0- 7- 2- 7- 0- 4-m 9- 0- 7- 0- 7- 0- 4-m 9- 0- 7- 0- 7- 0- 4-m 9- 2- 0- 7- 9-m 0- 2- 7- 9-m 0- 2- 7- 9-m 0- 2- 4-m 9- 0- 7- 0- 7- 0- 4-m 9- 0- 7- 0- 7- 0- 4-m 9- 2- 0- 4-m 0- 7- 9-m 7- 9-m 0- 2- 7- 9-m 0- 2- 7- 9-m 0- 2- 4-m 2- 7- 9-m 0- 2- 7- 9-m 0- 2- 7- 9-m 0- 2- 4-m 9- 0- 7- 0- 4-m 2- 7- 0- 4-m 2- 7- 0- 4-m 2- 7- 0- 4-m 2- 7- 0- 4-m 2- 7- 0- 4-m 2- 7- 9-m 0- 2- 7- 9-m 0- 2- 7- 9-m 0- 2- 4-m 2- 7-
3,The Story,9- 9-sus 9- 9-sus 9- 4- 6-m 2- 2- 9- 4- 6-m 2- 9- 4- 9- 9-sus 9- 9- 4- 6-m 2- 9- 4- 6-m 2- 9- 4- 9- 9-sus 9- 9- 4- 6-m 2- 9- 4- 6-m 2- 9- 4- 9- 9-sus 9- 4- 6-m 2- 9- 4- 6-m 2- 9- 4- 9- 9-sus 9- 9- 4- 6-m 2- 9- 4- 6-m 2- 9- 4- 9- 9-sus 9- 9- 4- 9- 9-sus 9-
4,In Der Weihnachtsbäckerei,7- 2- 4-m 0- 7- 2- 9-m 2- 9-m 2- 7- 2- 4-m 7- 2- 7- 4-m 7- 2- 7- 7- 9-m 2- 7- 7- 9-m 2- 7- 7- 2- 4-m 0- 7- 2- 9-m 2- 9-m 2- 7- 2- 4-m 7- 2- 7- 4-m 7- 2- 7- 7- 9-m 2- 7- 7- 9-m 2- 7- 7- 2- 4-m 0- 7- 2- 9-m 2- 9-m 2- 7- 2- 4-m 7- 2- 7- 4-m 7- 2- 7- 7- 9-m 2- 7- 7- 9-m 2- 7- 7- 2- 4-m 0- 7- 2- 9-m 2- 9-m 2- 7- 2- 4-m 7- 2- 7- 4-m 7- 2- 7-
5,Dancing In The Moonlight,2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m 2-m 7- 0- 7-/11 9-m
6,I Heard The Bells On Christmas Day,4-m 0- 7- 11-7 4-m 0- 7- 2- 4-m 0- 7- 11-7 0- 7- 0- 7- 0- 4-m 2- 4-m 0- 7- 2- 4-m 0- 7- 11-7 0- 7- 0- 7- 0- 4-m 2- 0- 4-m 2- 0- 2-2 0- 7- 2- 4-m 0- 7- 2- 4-m 0- 7- 11-7 0- 7- 0- 7- 0- 4-m 2- 0- 7- 0- 7- 0- 4-m 2- 0- 7- 0- 7- 0- 4-m 2-
7,Lonely Day,9-m 5- 0- 4-7 9-m 5- 0- 4-7 9-m 5- 0- 4-7 9-m 5- 0- 4-7 9-m 5- 0- 4-7 9-m 5- 0- 4-7 9-m 5- 0- 4-7 9-m 5- 0- 4-7 9-m 5- 0- 4-7 9-m 5- 0- 4-7 9-m 5- 0- 4-7 5- 4-7 7- 9-m 5- 4-7 7- 9-m 5- 4-7 9-m 5- 0- 4-7 9-m 5- 0- 4-7 9-m 5- 0- 4-7 9-m 5- 0- 4-7 9-m 5- 0- 4-7 9-m 5- 0- 4-7 9-m 5- 0- 4-7
8,In The End,9-m 7- 9-m 7- 5- 7- 9-m 7- 5- 7- 9-m 7- 5- 7- 9-m 7- 5- 7- 9-m 0- 7- 5- 9-m 0- 7- 5- 9-m 7- 5- 7- 9-m 7- 5- 7- 9-m 7- 5- 7- 9-m 7- 5- 7- 9-m 0- 7- 5- 9-m 0- 7- 5- 9-m 7- 5- 7- 9-m 7- 5- 7- 9-m 0- 7- 5- 9-m 0- 7- 5- 9-m 0- 7- 5- 9-m 0- 7- 5- 9-m 7- 9-m
9,Valerie,0- 2-m 0- 2-m 5- 4-m 5- 4-m 5- 4-m 7- 7- 0- 2-m 0- 2-m 0- 2-m 0- 2-m 0- 2-m 0- 2-m 5- 4-m 5- 4-m 5- 4-m 7- 7- 0- 2-m 0- 2-m 0- 2-m 2-m 0- 2-m 5- 4-m 5- 4-m 5- 4-m 7- 7- 0- 2-m 0- 2-m 0- 2-m 0- 2-m 0-maj7
