,0,1,2
0,All I Want For Christmas Is You,0,0- 9-m 5- 7- 0- 0-/4 5- 5-m/8 0-/4 4-7 9-m 5-m/8 0-/7 9-7 2-m7 5-m6/7 0- 9-m 5- 7- 0- 5- 8-6 0- 5- 8-6 0- 4-7 9-m 8-6 0-/7 9-7 2-m7 5-m6/8 0- 9-m 2-m7 7- 0- 5- 8-6 0- 5- 8-6 0- 4-7 9-m 8-6 0-/7 9-7 2-m7 5-m6/8 0- 9-m 2-m7 7- 4-7 9-m 4-7 9-m 8-6 0-/7 9-7 2-m7 2-m7/7 0- 5- 8-6 0- 4-7 9-m 8-6 0-/7 9-7 2-m7 5-m6/7 7- 0- 9-m 2-m7 7- 0- 9-m 2-m7 7- 0- 9-m 2-m7 7- 0- 9-m 2-m7 7- 0- 9-m 2-m7 7- 0- 9-m 2-m7 7-
1,Hallelujah,0,0- 9-m 0- 9-m 0- 9-m 0- 9-m 5- 7- 0- 7- 0- 5- 7- 9-m 5- 7- 4-7 9-m 5- 9-m 5- 0- 7- 0- 9-m 0- 9-m 0- 9-m 0- 9-m 5- 7- 0- 7- 0- 5- 7- 9-m 5- 7- 4-7 9-m 5- 9-m 5- 0- 7- 0- 9-m 0- 9-m 0- 9-m 0- 9-m 5- 7- 0- 7- 0- 5- 7- 9-m 5- 7- 4-7 9-m 5- 9-m 5- 0- 7- 0- 9-m 0- 9-m 0- 9-m 0- 9-m 5- 7- 0- 7- 0- 5- 7- 9-m 5- 7- 4-7 9-m 5- 9-m 5- 0- 7- 0- 9-m 0- 9-m 0- 9-m 0- 9-m 5- 7- 0- 7- 0- 5- 7- 9-m 5- 7- 4-7 9-m 5- 9-m 5- 0- 7- 0- 5- 9-m 5- 0- 7- 0- 5- 9-m 5- 0- 7- 0- 9-m 5- 7- 0-
2,Creep,0,0- 4- 5- 5-m 0- 4- 5- 5-m 0- 4- 5- 5-m 5-m 0- 4- 5- 5-m 0- 4- 5- 5-m 0- 4- 5- 5-m 5-m 0- 4- 5- 5-m 0- 4- 5- 5-m 0- 4- 5- 5-m 0- 4- 5- 5-m 0- 4- 5- 5-m 0-
3,Wonderwall,1,0-m 3- 10- 5-7sus4 0-m 3- 10- 5-7sus4 0-m 3- 10- 5-7sus4 0-m 3- 10- 5-7sus4 0-m 3- 10- 5-7sus4 0-m 3- 10- 5-7sus4 0-m 3- 10- 5-7sus4 8- 10- 5-7sus4 5-7sus4 0-m 3- 10- 5-7sus4 0-m 3- 10- 5-7sus4 0-m 3- 10- 5-7sus4 0-m 3- 10- 5-7sus4 8- 10- 0-m 8- 10- 0-m 8- 10- 3- 10- 0-m 10- 5-7sus4 8- 0-m 3- 0-m 8- 0-m 3- 0-m 8- 0-m 3- 0-m 8- 0-m 3- 0-m 0-m 3- 10- 5-7sus4 0-m 3- 10- 5-7sus4 0-m 3- 10- 5-7sus4 0-m 3- 10- 5-7sus4 8- 10- 0-m 8- 10- 0-m 8- 10- 3- 10- 0-m 10- 5-7sus4 8- 0-m 3- 0-m 8- 0-m 3- 0-m 8- 0-m 3- 0-m 8- 0-m 3- 0-m 8- 0-m 3- 0-m 8- 0-m 3- 0-m 8- 0-m 3- 0-m 8- 0-m 3- 0-m 8- 0-m 3- 0-m 8- 0-m 3- 0-m 8- 0-m 3- 0-m 8- 0-m 3- 0-m
4,Dont Look Back In Anger,0,0- 5- 0- 5- 0- 7- 9-m 4-7 5- 7- 0- 9-m 7- 0- 7- 9-m 4-7 5- 7- 0- 9-m 7- 5- 5- 5-m 0- 5- 5-m 0- 5- 5-m 0- 7- 4-7/8 9-m 7- 5- 7- 0- 7- 9-m 4-7 5- 7- 0- 9-m 7- 0- 7- 9-m 4-7 5- 7- 0- 7- 9-m 4-7 5- 7- 0- 9-m 7- 0- 7- 9-m 4-7 5- 7- 0- 9-m 7- 0- 7- 9-m 4-7 5- 7- 0- 9-m 7- 5- 5-m 0- 5- 5-m 0- 5- 5-m 0- 7- 4-7/8 9-m 7- 5- 7- 0- 7- 9-m 4-7 5- 7- 0- 9-m 7- 0- 7- 9-m 4-7 5- 7- 0- 9-m 7- 5- 5-m 0- 7- 4-7/8 9-m 7- 5- 7- 7- 0- 7- 9-m 4-7 5- 7- 0- 9-m 7- 0- 7- 9-m 4-7 5- 7- 0- 9-m 7- 0- 7- 9-m 4-7 5- 7- 0- 9-m 7- 0- 7- 9-m 5- 5-m 0- 7- 9-m 4-7 5- 5-m 0-
5,Zombie,1,0-m 8- 3- 10-/2 0-m 8- 3- 10-/2 0-m 8- 3- 10-/2 0-m 8- 3- 10-/2 0-m 8- 3- 10-/2 0-m 8- 3- 10-/2 0-m 8- 3- 10-/2 0-m 8- 3- 10-/2 0-m 8- 3- 10-/2 0-m 8- 3- 10-/2 0-m 8- 3- 10-/2 0-m 8- 3- 10-/2 0-m 8- 3- 10-/2 0-m 8- 3- 10-/2
6,Whats Up,0,0- 2-m 5- 0- 0- 2-m 0- 2-m 5- 0- 0- 2-m 5- 0- 0- 2-m 5- 0- 0- 2-m 5- 0- 0- 2-m 5- 0- 0- 2-m 5- 0- 0- 2-m 5- 0- 0- 2-m 5- 0- 0- 2-m 5- 0- 0- 2-m 5- 0- 0- 2-m 5- 0- 0- 2-m 5- 0- 0- 2-m 5- 0- 0- 2-m 5- 0- 0- 2-m 5- 0- 0- 2-m 5- 0- 0- 2-m 5- 0- 0- 2-m 5- 0-
7,Iris,1,10- 0-m 0-m/10 8- 7-m 0-m 0-sus2 8- 3- 5-m 8- 0-m 10- 8- 3- 5-m 8- 0-m 10- 8- 3- 5-m 8- 0-m 10- 8- 3- 5-m 8- 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 3- 5-m 8- 0-m 10- 8- 3- 5-m 8- 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 0-m 0-m/10 3- 3- 0-m 0-m/10 8- 8- 0-m 0-m/10 3- 3- 0-m 0-m/10 8- 8- 0-m 0-sus2 8- 8- 0-m 0-sus2 8- 8- 0-m 0-sus2 8- 8- 0-m 0-sus2 8- 7-m 8- 0-m 8- 7-m 0-m 0-m 8- 7-m 0-m 0-m 0-m 0-m/10 8- 8- 0-m 0-m/10 8- 8- 0-m 0-m/10 8- 8- 0-m 0-m/10 8- 8- 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 0-m 10- 0-m
8,No Surprises,0,0- 5-m 0- 5-maj7/9 2-m 7- 7-sus4 0- 5-m 0- 5-maj7/9 2-m 7- 7-sus4 0- 5-m 0- 5-maj7/9 2-m 7- 7-sus4 2-m 7- 7-sus4 2-m 7- 7-sus4 0- 5-m 0- 5-m 0- 5-maj7/9 2-m 7- 7-sus4 2-m 7- 7-sus4 2-m 7- 7-sus4 0- 5-m 7- 5-m 7- 5-m 2-m 5-m 0- 5-maj7/9 2-m 7- 7-sus4 2-m 7- 7-sus4 2-m 7- 7-sus4 0- 5-m
9,Nothing Else Matters,1,0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 3- 7-7 0-m 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 3- 7-7 0-m 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 3- 7-7 0-m 8- 5- 10- 8- 5- 10- 8- 5- 10- 0-m 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 3- 7-7 0-m 8- 5- 10- 8- 5- 10- 8- 5- 10- 0-m 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 3- 7-7 0-m 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 3- 7-7 0-m 8- 5- 10- 8- 5- 10- 8- 5- 10- 8- 5- 10- 8- 5- 10- 0-m 0-m 10- 8- 0-m 10- 8- 0-m 10- 8- 3- 7-7 0-m
