,0,1
10,The Unforgiven,9-m 9-m 0- 7- 4-m 9-m 0- 7- 4- 9-m 9-m 4-m 2- 9-m 4-m 2- 9-m 4-m 2- 9-m 4-m 2- 9-m 0- 7- 9-m 0- 7- 4- 9-m 0- 7- 4-m 9-m 9-m 0- 7- 4- 9-m 9-m 0- 7- 4-m 9-m 9-m 0- 7- 4- 9-m 9-m 4-m 2- 9-m 4-m 2- 9-m 4-m 2- 9-m 4-m 2- 9-m 0- 7- 9-m 0- 7- 4- 9-m 0- 7- 4-m 9-m 9-m 0- 7- 4- 9-m 9-m 0- 7- 4-m 9-m 9-m 0- 7- 4- 9-m 9-m 9-m 4-m 2- 9-m 4-m 2- 9-m 4-m 2- 9-m 4-m 2- 9-m 4-m 9-m 2- 0- 7- 9-m 0- 7- 4- 9-m 0- 7- 4-m 9-m 9-m 0- 7- 4- 9-m 9-m 0- 7- 4-m 9-m 9-m 0- 7- 4- 9-m 0- 7- 4-m 9-m 0- 7- 4-m 9-m 0- 7- 4- 9-m 0- 7- 4-m 9-m 0- 7- 4- 9-m 0- 7- 4-m 9-m 0- 7- 4- 9-m 0- 7- 4-m 9-m 0- 7- 4- 9-m 0- 7- 4-m 9-m 0- 7- 4- 9-m 0- 7- 4-m 9-m
11,Lithium,2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 0- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 0- 9- 2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 0- 2- 6-m 11-m 7- 10- 0- 9- 0- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 7- 10- 0- 9-
12,High And Dry,6-m11 9-sus2 4- 4-sus4 4- 6-m11 9-sus2 4- 4-sus4 4- 6-m11 9-sus2 4- 4-sus4 4- 6-m11 9-sus2 4- 4-sus4 4- 6-m11 9-sus2 4- 6-m11 9-sus2 4- 6-m11 9-sus2 4- 4-sus4 4- 6-m11 9-sus2 4- 4-sus4 4- 6-m11 9-sus2 4- 4-sus4 4- 6-m11 9-sus2 4- 4-sus4 4- 6-m11 9-sus2 4- 6-m11 9-sus2 4- 6-m11 9-sus2 4- 4-sus4 4- 6-m11 9-sus2 4- 4-sus4 8- 6- 4-
13,Dont Speak,9-m 9-m 4-m 2-m 7- 4-m 2-m 7- 9-m 4-m 2-m 7- 4-m 9-m 2-m 7- 9-m 4-m 2-m 7- 0- 7- 9- 2-m 7-m 0- 9- 7-m 9- 2-m 7-m 9- 2-m 7-m 0- 9- 7-m 9- 2-m 7-m 0- 9-m 4-m 2-m 7- 4-m 2-m 7- 9-m 4-m 2-m 7- 0- 7- 9- 2-m 7-m 0- 9- 7-m 9- 2-m 7-m 9- 2-m 7-m 0- 9- 7-m 9- 2-m 0- 9- 5- 10- 5- 8- 3- 6- 3-m/0 5-7sus4 5-7 9-m 4-m 2-m 7- 9-m 4-m 2-m 7- 9-m 4-m 2-m 7- 4-m 9-m 2-m 9-m 4-m 2-m 7- 2-m 7- 2-m 7-m 0- 9- 7-m 9- 2-m 7-m 9- 2-m 7-m 0- 9- 7-m 9- 2-m 7-m 9- 2-m 7-m 0- 9- 7-m 9- 2-m 7-m 9- 2-m 7-m 0- 9- 7-m 9- 2-m 7-m 9- 2-m 7-m 0- 9- 7-m 9- 2-m 7-m 9- 2-m 7-m 0- 9- 7-m 9- 2-m 7-m 9- 2-m 7-m 0- 9- 7-m 9- 2-m 7-m 9-
14,Polly,4-m 7- 2- 0- 4-m 7- 2- 0- 4-m 7- 2- 0- 4-m 7- 2- 0- 4-m 7- 2- 0- 4-m 7- 2- 0- 2- 0- 7- 10- 2- 0- 7- 10- 2- 0- 7- 10- 2- 0- 7- 10- 2- 0- 7- 10- 2- 0- 7- 10- 2- 0- 7- 10- 2- 0- 7- 10- 4-m 7- 2- 0- 4-m 7- 2- 0- 4-m 7- 2- 0- 4-m 7- 2- 0- 4-m 7- 2- 0- 4-m 7- 2- 0- 2- 0- 7- 10- 2- 0- 7- 10- 2- 0- 7- 10- 2- 0- 7- 10- 2- 0- 7- 10- 2- 0- 7- 10- 2- 0- 7- 10- 2- 0- 7- 10- 4-m 7- 2- 0- 4-m 7- 2- 0- 4-m 7- 2- 0- 4-m 7- 2- 0- 4-m 7- 2- 0- 4-m 7- 2- 0- 2- 0- 7- 10- 2- 0- 7- 10- 2- 0- 7- 10- 2- 0- 7- 10- 2- 0- 7- 10- 2- 0- 7- 10- 2- 0- 7- 10- 2- 0- 7- 10-
15,Friends In Low Places,9- 9-7 10-dim7 11-m 4- 4-7 2-m7 9- 10-dim7 11-m 4- 9- 10-dim7 11-m 4- 4-7 9- 9- 10-dim7 11-m 2-m7 4- 4-7 4- 4-7 9- 9- 11-m 4- 9- 9- 9-7 11-m 4- 9- 9- 10-dim7 11-m 4- 4-7 9- 9- 10-dim7 11-m 2-m7 4- 4-7 4- 4-7 9- 9- 11-m 4- 9- 9- 9-7 11-m 4- 9- 9- 10-dim7 11-m 4- 4-7 9- 9- 10-dim7 11-m 2-m7 4- 4-7 4- 4-7 9- 9- 11-m 4- 9- 9- 9-7 11-m 4- 9-
16,Jul Jul Strålande Jul,0- 5-m6 0- 5-m6 0- 5- 7-7 0- 5- 7- 5- 7- 2-m 4- 2-m 4- 9-m 0- 4-m 9-m 2-m 9-m 2-m 4- 0- 5-m6 0- 5-m6 0- 5- 7-7 0- 0- 5-m6 0- 5-m6 0- 5- 7-7 0- 5- 7- 5- 7- 2-m 4- 2-m 4- 9-m 0- 4-m 9-m 2-m 9-m 2-m 4- 0- 5-m6 0- 5-m6 0- 5- 7-7 0-
17,Kiss From A Rose,7- 2- 4- 7- 2- 4- 4- 0- 2- 4- 0- 2- 4- 2- 9- 4- 4-m 0- 2- 0- 2- 4- 4- 0- 2- 4- 0- 2- 4- 0- 2- 0- 2- 4- 0-M7 2- 4- 4- 0- 2- 4- 0- 2- 4- 0- 2- 4- 0- 2- 4- 4-m 0- 2- 0- 2- 4- 4- 0- 2- 4- 0- 2- 4- 0- 2- 0- 2- 4- 0-M7 2- 4- 0- 2- 0- 2- 2-sus2 9-sus2 7- 2-sus2 9-sus2 7- 2-sus2 9-sus2 7- 2-sus2 9-sus2 7- 4- 0- 2- 4- 0- 2- 4- 0- 2- 4- 0- 2- 4- 4-m 0- 2- 0- 2- 4- 4- 0- 2- 4- 0- 2- 4- 0- 2- 0- 2- 4- 0- 2- 0- 2- 4-
18,Open The Eyes Of My Heart,7- 2- 0- 7- 7- 2- 0- 7- 2- 4-m 0- 2- 4-m 0- 2- 7- 7- 2- 0- 7- 7- 7- 7-
19,The Show Must Go On,11-m 7- 4-m 6- 4-m 11-m 7- 4-m 6- 4-m 11-m 7- 4-m 6- 4-m 11-m 7- 4-m 6- 4-m 11-m 1-m 9- 6-m 8- 6-m 1-m 9- 6-m 8- 6-m 4-m 11-m 7- 4-m 6- 4-m 11-m 7- 4-m 6- 4-m 5- 7- 4-m 9-m 7- 5- 7- 4-m 9-m 1-m7b5 2- 11-m 7- 4-m 6- 4-m 11-m 7- 4-m 6- 6- 4-m 11-m
